code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
000429,,13.29,0.30188679245282124,0.0,121514.0,13.946000000000002,14.3385,0,S,钻潜评级策略,weak,0.5R,14.02,13.33,0.69,13.99,13.36,未突破,160907.0,1.4,达标,
000513,,30.75,0.06508298080052377,0.0,71809.0,30.532,30.79,0,S,钻潜评级策略,good,1R,31.33,29.85,1.48,31.27,29.91,未突破,106018.0,1.7,达标,
600211,西藏药业,39.25,-1.2081550465642965,0.0,39548.0,39.010000000000005,38.7855,0,S,钻潜评级策略,good,1R,39.68,37.72,1.96,39.6,37.8,未突破,72180.0,1.0,达标,
603367,辰欣药业,15.92,0.6321112515802696,0.0,60897.0,15.666,15.584,0,S,钻潜评级策略,good,1R,15.94,15.25,0.69,15.91,15.28,未突破,66134.0,1.7,达标,
603368,柳药集团,15.92,0.6321112515802696,0.0,60897.0,15.666,15.584,0,S,钻潜评级策略,good,1R,15.94,15.25,0.69,15.91,15.28,未突破,66134.0,1.7,达标,
000963,,29.81,0.6074924063449227,0.0,376198.0,28.833999999999996,29.616500000000002,0,A,钻潜评级策略,good,1R,29.91,28.36,1.55,29.85,28.42,未突破,416031.0,-0.1,达标,
600012,皖通高速,16.08,1.1957205789804748,0.0,84992.0,16.088,16.953725225932537,0,A,钻潜评级策略,good,1R,16.55,15.79,0.76,16.52,15.82,未突破,125208.0,2.2,达标,
600062,华润双鹤,16.38,-0.12195121951219523,0.0,143141.0,16.264,16.675,0,A,钻潜评级策略,weak,0.5R,16.71,15.86,0.85,16.68,15.89,未突破,174910.0,-0.9,达标,
600380,健康元,10.39,1.070038910505855,0.0,250516.0,10.209999999999999,10.279,0,A,钻潜评级策略,good,1R,10.46,9.93,0.53,10.44,9.95,未突破,273668.0,1.9,达标,
600511,国药股份,27.48,-0.6507592190889366,0.0,71325.0,27.516000000000002,27.701999999999998,0,A,钻潜评级策略,good,1R,28.42,27.11,1.31,28.36,27.16,未突破,88417.0,2.7,达标,
603014,威高血净,33.74,-0.35440047253395557,0.0,25437.0,33.882,32.4875,0,A,钻潜评级策略,good,1R,34.82,33.32,1.5,34.75,33.39,未突破,34549.0,5.5,达标,
603587,地素时尚,11.73,-0.5089058524172962,0.0,21031.0,11.581999999999999,11.406794657762939,0,A,钻潜评级策略,good,1R,12.01,11.43,0.58,11.99,11.45,未突破,33308.0,6.9,达标,
688289,圣湘生物,15.62,-2.73972602739726,0.0,51602.0,15.616,15.383500000000002,0,A,钻潜评级策略,good,1R,15.91,15.1,0.81,15.88,15.13,未突破,85875.0,4.3,达标,
000868,,17.44,-0.6833712984054552,0.0,15843.0,17.474,17.2655,0,B,钻潜评级策略,good,1R,17.89,17.12,0.77,17.85,17.15,未突破,22474.0,9.2,达标,
000869,,17.44,-0.6833712984054552,0.0,15843.0,17.474,17.2655,0,B,钻潜评级策略,good,1R,17.89,17.12,0.77,17.85,17.15,未突破,22474.0,9.2,达标,
002311,,46.35,-0.5151320025756689,0.0,104448.0,46.684,47.9045,0,B,钻潜评级策略,good,1R,47.84,45.39,2.45,47.74,45.48,未突破,171947.0,6.6,达标,
600350,山东高速,10.86,1.495327102803734,0.0,187041.0,10.801999999999998,11.364500000000001,0,B,钻潜评级策略,good,1R,11.08,10.56,0.52,11.06,10.58,未突破,218657.0,-10.8,达标,
