code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
600004,白云机场,7.58,-1.0443864229765065,0.0,97479.0,7.7540000000000004,7.654524815756472,0,S,钻潜评级策略,weak,0.5R,8.04,7.63,0.41,8.02,7.65,未突破,195327.0,11.5,不达标,动量11.5%>10%；止损0.41元<0.5
600020,中原高速,3.79,-0.7853403141361182,0.0,141978.0,3.854,3.8064999999999998,0,S,钻潜评级策略,weak,0.5R,3.96,3.77,0.19,3.95,3.78,未突破,229699.0,8.8,不达标,止损0.19元<0.5
600036,招商银行,38.8,-0.43623299974340224,0.0,779647.0,39.27,38.8185,0,S,钻潜评级策略,good,1R,40.63,38.64,1.99,40.55,38.72,未突破,1603865.0,10.2,不达标,动量10.2%>10%
600056,中国医药,9.4,2.1739130434782705,0.0,222308.0,9.395999999999999,9.459,0,S,钻潜评级策略,weak,0.5R,9.68,9.27,0.41,9.66,9.29,未突破,309975.0,6.5,不达标,止损0.41元<0.5
600064,南京高科,7.64,-0.907911802853445,0.0,168151.0,7.782000000000001,7.558337695393886,0,S,钻潜评级策略,good,1R,8.03,7.63,0.4,8.01,7.65,未突破,290112.0,14.5,不达标,动量14.5%>10%；止损0.40元<0.5
600125,铁龙物流,5.44,-1.270417422867498,0.0,144721.0,5.534,5.4795,0,S,钻潜评级策略,good,1R,5.69,5.44,0.25,5.68,5.45,未突破,170409.0,7.8,不达标,止损0.25元<0.5
600155,华创云信,5.91,-0.3372681281618828,0.0,277150.0,5.992,5.765,0,S,钻潜评级策略,good,1R,6.14,5.83,0.31,6.13,5.84,未突破,529992.0,14.8,不达标,动量14.8%>10%；止损0.31元<0.5
600269,赣粤高速,3.9,-1.2658227848101333,0.0,357946.0,4.029999999999999,4.0355,0,S,钻潜评级策略,weak,0.5R,4.21,3.99,0.22,4.2,4.0,未突破,389283.0,3.7,不达标,止损0.22元<0.5
600282,南钢股份,4.82,-2.822580645161288,0.0,483957.0,4.904,4.852,0,S,钻潜评级策略,weak,0.5R,4.83,4.6,0.23,4.82,4.61,未突破,618164.0,4.1,不达标,止损0.23元<0.5
600305,恒顺醋业,6.81,-1.017441860465118,0.0,109938.0,6.965999999999999,6.8340000000000005,0,S,钻潜评级策略,good,1R,7.19,6.83,0.36,7.18,6.84,未突破,147663.0,10.4,不达标,动量10.4%>10%；止损0.36元<0.5
600420,国药现代,8.7,1.3986013986013957,0.0,98183.0,8.732,8.786,0,S,钻潜评级策略,good,1R,9.01,8.6,0.41,8.99,8.62,未突破,171055.0,3.7,不达标,止损0.41元<0.5
600548,深高速,8.35,-0.8313539192399078,0.0,33882.0,8.518,8.541799999713898,0,S,钻潜评级策略,weak,0.5R,8.88,8.44,0.44,8.86,8.46,未突破,58928.0,5.7,不达标,止损0.44元<0.5
600597,光明乳业,6.72,-1.6105417276720435,0.0,139737.0,6.928,6.811,0,S,钻潜评级策略,good,1R,7.19,6.87,0.32,7.18,6.88,未突破,185137.0,12.9,不达标,动量12.9%>10%；止损0.32元<0.5
600717,天津港,4.23,-1.6279069767441756,0.0,251722.0,4.348,4.2945,0,S,钻潜评级策略,weak,0.5R,4.5,4.33,0.17,4.49,4.34,未突破,371652.0,11.4,不达标,动量11.4%>10%；止损0.17元<0.5
