code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,当前量比,动量20日%,C23,C23原因
600675,中华企业,2.28,0.8849557522123908,0.0,321855.0,2.254,2.2165,0,B,钻潜评级策略,good,1R,2.28,2.17,0.11,2.28,2.17,已突破,379524.0,1.02,6.5,不达标,止损0.11元<0.5
600822,上海物贸,8.52,1.4285714285714235,0.0,54802.0,8.314,8.1545,0,B,钻潜评级策略,good,1R,8.49,8.03,0.46,8.47,8.05,已突破,39819.0,1.65,5.2,不达标,止损0.46元<0.5
603350,安乃达,28.8,1.9108280254777066,0.0,11893.0,28.002,27.351499999999998,0,B,钻潜评级策略,weak,0.5R,28.35,27.1,1.25,28.29,27.15,已突破,10202.0,1.4,0.4,达标,
603939,益丰药房,24.64,5.164319248826299,0.0,321193.0,23.062,22.2825,0,B,钻潜评级策略,good,1R,22.91,21.79,1.12,22.86,21.83,已突破,164793.0,2.34,7.3,达标,
688075,安旭生物,29.47,-0.841184387617766,0.0,6773.0,28.998,28.340500000000002,0,B,钻潜评级策略,weak,0.5R,29.05,27.73,1.32,28.99,27.79,已突破,9987.0,0.81,2.7,达标,
688276,百克生物,15.91,-0.500312695434646,0.0,22511.0,15.494,14.898500000000002,0,B,钻潜评级策略,good,1R,15.41,14.72,0.69,15.38,14.75,已突破,27576.0,0.98,3.0,达标,
688569,铁科轨道,17.22,-0.9205983889528202,0.0,7413.0,17.078,16.558,0,B,钻潜评级策略,good,1R,16.97,16.29,0.68,16.94,16.32,已突破,12374.0,0.72,1.0,达标,
002234,民和股份,7.85,-0.5069708491761693,0.0,197124.0,7.484,7.122999999999999,0,B,钻潜评级策略,good,1R,7.28,7.02,0.26,7.27,7.03,已突破,66857.0,3.54,1.1,不达标,止损0.26元<0.5
002321,华英农业,1.99,1.0152284263959421,0.0,312576.0,1.94,1.884,0,B,钻潜评级策略,good,1R,1.94,1.86,0.08,1.94,1.86,已突破,306041.0,1.23,2.6,不达标,止损0.08元<0.5
002376,新北洋,6.52,0.3076923076922977,0.0,268778.0,6.590000000000001,6.272,0,B,钻潜评级策略,good,1R,6.47,6.17,0.3,6.46,6.18,已突破,184661.0,1.75,6.1,不达标,止损0.30元<0.5
002746,仙坛股份,6.5,-1.0654490106544956,0.0,245150.0,6.3100000000000005,6.098999999999999,0,B,钻潜评级策略,good,1R,6.3,6.03,0.27,6.29,6.04,已突破,245184.0,1.2,9.9,不达标,止损0.27元<0.5
300026,红日药业,3.49,2.346041055718473,0.0,1184510.0,3.41,3.3805,0,B,钻潜评级策略,good,1R,3.48,3.29,0.19,3.47,3.3,已突破,847619.0,1.68,4.5,不达标,止损0.19元<0.5
300158,振东制药,6.01,14.258555133079852,0.0,1150485.0,5.29,5.031000000000001,0,B,钻潜评级策略,good,1R,5.15,4.88,0.27,5.14,4.89,已突破,231157.0,5.97,1.6,不达标,止损0.27元<0.5
300463,迈克生物,9.45,0.31847133757960666,0.0,95759.0,9.283999999999999,9.057,0,B,钻潜评级策略,good,1R,9.37,8.95,0.42,9.35,8.97,已突破,107295.0,1.07,4.5,不达标,止损0.42元<0.5
300915,海融科技,20.89,-0.33396946564885344,0.0,16046.0,20.25,19.344,0,B,钻潜评级策略,weak,0.5R,20.28,19.35,0.93,20.24,19.39,已突破,21192.0,0.91,1.3,达标,
301370,国科恒泰,9.03,1.5748031496062964,0.0,86387.0,8.809999999999999,8.646,0,B,钻潜评级策略,good,1R,8.9,8.53,0.37,8.88,8.55,已突破,54329.0,1.91,0.3,不达标,止损0.37元<0.5
