code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
300357,我武生物,25.01,0.5225080385852232,0.0,159844.0,24.344,24.1245,0,A,钻潜评级策略,good,1R,24.53,23.27,1.26,24.48,23.32,已突破,183803.0,3.5,达标,
300425,中建环能,4.07,3.037974683544298,0.0,153599.0,3.9840000000000004,3.882,0,A,钻潜评级策略,good,1R,4.05,3.87,0.18,4.04,3.88,已突破,157152.0,7.4,不达标,止损0.18元<0.5
300439,美康生物,9.24,-0.108108108108107,0.0,60602.0,8.942,8.6405,0,A,钻潜评级策略,good,1R,8.92,8.45,0.47,8.9,8.47,已突破,63027.0,4.0,不达标,止损0.47元<0.5
300595,欧普康视,11.76,3.3391915641476144,0.0,249322.0,11.443999999999999,11.194,0,A,钻潜评级策略,good,1R,11.68,11.08,0.6,11.66,11.1,已突破,178399.0,10.4,不达标,动量10.4%>10%
300653,正海生物,15.35,-0.45395590142671693,0.0,36926.0,14.937999999999999,14.459999999999999,0,A,钻潜评级策略,good,1R,14.89,14.19,0.7,14.86,14.22,已突破,31892.0,5.1,达标,
300908,仲景食品,24.96,4.785894206549113,0.0,42527.0,24.104000000000003,23.4845,0,A,钻潜评级策略,good,1R,24.63,23.48,1.15,24.58,23.53,已突破,23467.0,7.6,达标,
301103,何氏眼科,17.38,5.717761557177603,0.0,73578.0,16.45,15.799000000000001,0,A,钻潜评级策略,good,1R,16.51,15.72,0.79,16.48,15.75,已突破,31718.0,6.7,达标,
301332,德尔玛,8.07,1.2547051442910906,0.0,87645.0,8.212,7.896000000000001,0,A,钻潜评级策略,good,1R,7.78,7.39,0.39,7.76,7.4,已突破,50649.0,3.0,不达标,止损0.39元<0.5
301585,蓝宇股份,27.89,8.47919097627383,0.0,40155.0,26.118000000000002,25.496499999999997,0,A,钻潜评级策略,good,1R,25.93,25.16,0.77,25.88,25.21,已突破,14419.0,1.2,达标,
600127,金健米业,6.3,-0.31645569620254443,0.0,549685.0,6.008,5.6785000000000005,0,B,钻潜评级策略,good,1R,5.73,5.46,0.27,5.72,5.47,已突破,272528.0,2.5,不达标,止损0.27元<0.5
600168,武汉控股,4.34,2.3584905660377187,0.0,86955.0,4.302,4.266500000000001,0,B,钻潜评级策略,good,1R,4.32,4.1,0.22,4.31,4.11,已突破,84653.0,3.1,不达标,止损0.22元<0.5
600368,五洲交通,4.07,3.562340966921118,0.0,331889.0,3.95,3.85,0,B,钻潜评级策略,good,1R,4.06,3.86,0.2,4.05,3.87,已突破,264905.0,10.0,不达标,动量10.0%>10%；止损0.20元<0.5
600812,华北制药,5.02,1.2096774193548265,0.0,300915.0,4.874,4.842499999999999,0,B,钻潜评级策略,good,1R,4.95,4.73,0.22,4.94,4.74,已突破,373767.0,4.9,不达标,止损0.22元<0.5
688276,百克生物,15.99,2.43433696348494,0.0,33093.0,15.347999999999999,14.850999999999999,0,B,钻潜评级策略,good,1R,15.41,14.72,0.69,15.38,14.75,已突破,33720.0,4.9,达标,
688569,铁科轨道,17.38,0.9291521486643362,0.0,9748.0,16.968,16.5375,0,B,钻潜评级策略,good,1R,16.97,16.29,0.68,16.94,16.32,已突破,15268.0,3.5,达标,
688687,凯因科技,17.95,2.220956719817768,0.0,53542.0,17.009999999999998,16.3625,0,B,钻潜评级策略,good,1R,16.1,15.33,0.77,16.07,15.36,已突破,54103.0,-6.4,达标,
000090,天健集团,3.5,3.857566765578624,0.0,287239.0,3.402,3.295038768874682,0,B,钻潜评级策略,good,1R,3.33,3.19,0.14,3.32,3.2,已突破,271032.0,4.6,不达标,止损0.14元<0.5
000797,中国武夷,2.43,2.9661016949152685,0.0,248109.0,2.396,2.322,0,B,钻潜评级策略,good,1R,2.42,2.31,0.11,2.42,2.31,已突破,341618.0,8.0,不达标,止损0.11元<0.5
002234,民和股份,7.89,8.977900552486172,0.0,184114.0,7.337999999999999,7.090499999999999,0,B,钻潜评级策略,good,1R,7.28,7.02,0.26,7.27,7.03,已突破,74435.0,1.8,不达标,止损0.26元<0.5
002321,华英农业,1.97,3.684210526315801,0.0,361478.0,1.9259999999999997,1.879,0,B,钻潜评级策略,good,1R,1.94,1.86,0.08,1.94,1.86,已突破,373492.0,3.7,不达标,止损0.08元<0.5
002749,国光股份,9.11,5.807200929152145,0.0,110379.0,8.742,8.5945,0,B,钻潜评级策略,good,1R,8.19,7.75,0.44,8.17,7.77,已突破,72570.0,2.4,不达标,止损0.44元<0.5
300158,振东制药,5.26,2.3346303501945442,0.0,302326.0,5.095999999999999,4.984,0,B,钻潜评级策略,good,1R,5.15,4.88,0.27,5.14,4.89,已突破,283415.0,4.7,不达标,止损0.27元<0.5
300915,海融科技,20.96,6.234161175874298,0.0,27070.0,20.066,19.3005,0,B,钻潜评级策略,weak,0.5R,20.28,19.35,0.93,20.24,19.39,已突破,24961.0,3.2,达标,
