日期,开盘,收盘,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅,换手率
2023-04-14,6.25,6.21,6.26,6.16,21179.0,13154031.0,,,1.6233766233766176,0.0
2023-04-17,6.21,6.23,6.24,6.13,28097.0,17410368.0,0.32206119162641045,0.020000000000000462,1.7944535073409515,0.0
2023-04-18,6.22,6.18,6.24,6.16,23360.0,14456378.0,-0.8025682182985716,-0.05000000000000071,1.2987012987012998,0.0
2023-04-19,6.2,6.14,6.23,6.14,26045.0,16093691.0,-0.6472491909385147,-0.040000000000000036,1.465798045602618,0.0
2023-04-20,6.18,6.09,6.2,6.08,23034.0,14074528.0,-0.8143322475570036,-0.04999999999999982,1.9736842105263175,0.0
2023-04-21,6.51,6.7,6.7,6.42,235078.0,156325936.0,10.016420361247945,0.6100000000000003,4.3613707165109075,0.0
2023-04-24,6.84,6.7,6.9,6.6,385118.0,259865616.0,0.0,0.0,4.5454545454545565,0.0
2023-04-25,6.65,6.6,6.71,6.53,203633.0,134495040.0,-1.4925373134328401,-0.10000000000000053,2.7565084226646204,0.0
2023-04-26,6.6,6.61,6.69,6.51,139549.0,92166712.0,0.15151515151516914,0.010000000000000675,2.764976958525355,0.0
2023-04-27,6.58,6.53,6.6,6.5,97012.0,63496680.0,-1.2102874432677768,-0.08000000000000007,1.538461538461533,0.0
2023-04-28,6.56,6.68,6.68,6.54,104427.0,69248344.0,2.297090352220521,0.14999999999999947,2.1406727828746126,0.0
2023-05-04,6.66,6.78,6.83,6.65,108773.0,73560384.0,1.4970059880239583,0.10000000000000053,2.7067669172932285,0.0
2023-05-05,6.79,6.87,6.91,6.7,117260.0,79685088.0,1.327433628318575,0.08999999999999986,3.134328358208954,0.0
2023-05-08,6.9,6.83,6.93,6.77,69466.0,47354488.0,-0.5822416302765698,-0.040000000000000036,2.3633677991137394,0.0
2023-05-09,6.81,6.72,6.87,6.7,70979.0,47991028.0,-1.6105417276720435,-0.11000000000000032,2.53731343283582,0.0
2023-05-10,6.68,6.71,6.79,6.66,50100.0,33687356.0,-0.14880952380952328,-0.009999999999999787,1.9519519519519504,0.0
2023-05-11,6.69,6.71,6.75,6.66,35511.0,23817976.0,0.0,0.0,1.351351351351349,0.0
2023-05-12,6.71,6.72,6.75,6.67,49490.0,33224724.0,0.14903129657226621,0.009999999999999787,1.199400299850076,0.0
2023-05-15,6.68,6.77,6.78,6.67,49926.0,33626820.0,0.7440476190476275,0.04999999999999982,1.649175412293858,0.0
2023-05-16,6.77,6.7,6.88,6.68,48909.0,33003140.0,-1.0339734121122546,-0.0699999999999994,2.994011976047907,0.0
2023-05-17,6.67,6.78,6.78,6.66,34415.0,23168456.0,1.1940298507462588,0.08000000000000007,1.8018018018018036,0.0
2023-05-18,6.76,6.79,6.84,6.71,42415.0,28724992.0,0.1474926253687281,0.009999999999999787,1.9374068554396409,0.0
2023-05-19,6.75,6.69,6.78,6.65,35536.0,23809756.0,-1.4727540500736325,-0.09999999999999964,1.9548872180451111,0.0
2023-05-22,6.72,6.68,6.74,6.61,34873.0,23275614.0,-0.1494768310911887,-0.010000000000000675,1.9667170953101345,0.0
2023-05-23,6.71,6.64,6.74,6.63,28424.0,19001808.0,-0.5988023952095856,-0.040000000000000036,1.659125188536958,0.0
2023-05-24,6.63,6.57,6.66,6.56,34951.0,23068480.0,-1.0542168674698704,-0.0699999999999994,1.5243902439024473,0.0
2023-05-25,6.56,6.64,6.64,6.54,36888.0,24341028.0,1.0654490106544845,0.0699999999999994,1.5290519877675788,0.0
2023-05-26,6.65,6.58,6.65,6.51,34988.0,22956710.0,-0.9036144578313143,-0.05999999999999961,2.150537634408611,0.0
2023-05-29,6.55,6.66,6.75,6.55,54422.0,36354488.0,1.2158054711246313,0.08000000000000007,3.0534351145038197,0.0
2023-05-30,6.63,6.59,6.69,6.53,32173.0,21237204.0,-1.0510510510510551,-0.07000000000000028,2.450229709035224,0.0
2023-05-31,6.58,6.53,6.63,6.49,34841.0,22818702.0,-0.9104704097116834,-0.05999999999999961,2.1571648690292706,0.0
2023-06-01,6.53,6.42,6.53,6.4,42361.0,27322728.0,-1.6845329249617236,-0.11000000000000032,2.0312499999999982,0.0
2023-06-02,6.42,6.53,6.56,6.42,31569.0,20563316.0,1.7133956386292892,0.11000000000000032,2.1806853582554466,0.0
2023-06-05,6.56,6.58,6.63,6.49,25124.0,16502600.0,0.7656967840734996,0.04999999999999982,2.1571648690292706,0.0
2023-06-06,6.56,6.54,6.66,6.53,32541.0,21447868.0,-0.6079027355623157,-0.040000000000000036,1.990811638591116,0.0
2023-06-07,6.5,6.48,6.59,6.47,28166.0,18363618.0,-0.917431192660545,-0.05999999999999961,1.8547140649149938,0.0
2023-06-08,6.45,6.72,6.92,6.45,136054.0,91808768.0,3.703703703703698,0.23999999999999932,7.286821705426353,0.0
2023-06-09,6.7,6.81,6.84,6.63,80616.0,54532700.0,1.3392857142857206,0.08999999999999986,3.167420814479638,0.0
2023-06-12,6.81,7.05,7.06,6.73,116654.0,81069072.0,3.524229074889873,0.2400000000000002,4.903417533432379,0.0
2023-06-13,7.05,7.11,7.13,6.97,96453.0,68132000.0,0.8510638297872353,0.0600000000000005,2.295552367288381,0.0
2023-06-14,7.13,7.18,7.31,7.09,106112.0,76552416.0,0.9845288326300938,0.0699999999999994,3.102961918194637,0.0
2023-06-15,7.11,7.14,7.19,7.05,77130.0,54930476.0,-0.5571030640668551,-0.040000000000000036,1.9858156028368874,0.0
2023-06-16,7.13,7.11,7.25,7.1,61124.0,43780720.0,-0.42016806722687816,-0.02999999999999936,2.1126760563380333,0.0
2023-06-19,7.15,6.97,7.17,6.95,65476.0,45994152.0,-1.9690576652602099,-0.14000000000000057,3.1654676258992773,0.0
2023-06-20,6.97,6.93,7.05,6.92,48632.0,33888408.0,-0.5738880918220945,-0.040000000000000036,1.8786127167630042,0.0
2023-06-21,6.91,7.08,7.19,6.91,80924.0,57153800.0,2.164502164502169,0.15000000000000036,4.0520984081042,0.0
2023-06-26,7.07,7.0,7.17,6.97,62243.0,43857768.0,-1.1299435028248594,-0.08000000000000007,2.8694404591104763,0.0
2023-06-27,6.98,7.16,7.19,6.98,56953.0,40685316.0,2.285714285714291,0.16000000000000014,3.0085959885386813,0.0
2023-06-28,7.18,7.23,7.26,7.08,74929.0,53703556.0,0.9776536312849249,0.07000000000000028,2.542372881355928,0.0
2023-06-29,7.21,7.17,7.3,7.15,63213.0,45625696.0,-0.8298755186722073,-0.0600000000000005,2.0979020979020904,0.0
2023-06-30,7.17,7.24,7.3,7.15,65968.0,47811584.0,0.9762900976290068,0.07000000000000028,2.0979020979020904,0.0
2023-07-03,7.22,7.2,7.26,7.13,57241.0,41129916.0,-0.5524861878453025,-0.040000000000000036,1.8232819074333786,0.0
2023-07-04,7.22,7.12,7.22,7.09,52996.0,37800548.0,-1.1111111111111072,-0.08000000000000007,1.8335684062059223,0.0
2023-07-05,7.13,7.09,7.18,7.08,39083.0,27857016.0,-0.4213483146067398,-0.03000000000000025,1.4124293785310684,0.0
2023-07-06,7.1,7.1,7.15,7.04,39028.0,27708052.0,0.14104372355430161,0.009999999999999787,1.5625000000000044,0.0
2023-07-07,7.1,7.11,7.19,7.03,33537.0,23838676.0,0.14084507042253502,0.010000000000000675,2.2759601706970147,0.0
2023-07-10,7.13,7.15,7.2,7.11,42986.0,30739104.0,0.5625879043600568,0.040000000000000036,1.2658227848101244,0.0
