日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,振幅,涨跌额
2023-01-03,3.78120224,3.9347536,3.52208432,3.56047216,165438200,639542335.07,16.4631,,11.716621253406002,
2023-01-04,3.54127824,3.838784,3.51248736,3.6468448,130813380,499486526.69,13.0175,2.42587601078168,9.289617486338791,0.08637264
2023-01-05,3.62765088,4.01152928,3.62765088,3.81959008,144899337,583033794.19,14.4193,4.73684210526315,10.582010582010593,0.17274528
2023-01-06,3.7907992,3.84838096,3.54127824,3.57006912,108381497,410607805.22,10.7853,-6.532663316582921,8.67208672086721,-0.24952096000000035
2023-01-09,3.60845696,3.81959008,3.51248736,3.67563568,95939380,365973809.08,9.5471,2.9569892473118253,8.743169398907105,0.1055665600000002
2023-01-10,3.72362048,3.87717184,3.66603872,3.68523264,75092329,293019764.88,7.4726,0.26109660574413773,5.75916230366492,0.009596960000000099
2023-01-11,3.7428144,3.97314144,3.7428144,3.80999312,94952282,381294578.06,9.4489,3.385416666666674,6.153846153846159,0.12476047999999995
2023-01-12,3.81959008,3.81959008,3.6468448,3.70442656,66330588,256274496.4,6.6007,-2.770780856423183,4.7368421052631575,-0.1055665600000002
2023-01-13,3.75241136,3.92515664,3.65644176,3.84838096,73948100,294204642.83,7.3587,3.8860103626943143,7.349081364829399,0.14395440000000015
2023-01-16,3.7907992,3.838784,3.6948296,3.7428144,58295256,226853364.4,5.8011,-2.7431421446384108,3.8961038961039,-0.1055665600000002
2023-01-17,3.68523264,3.70442656,3.57966608,3.62765088,48340032,182296157.38,4.8104,-3.076923076923077,3.485254691689007,-0.11516351999999985
2023-01-18,3.67563568,3.67563568,3.58926304,3.62765088,25857137,97820541.5,2.5731,0.0,2.406417112299465,0.0
2023-01-19,3.6468448,3.72362048,3.59886,3.6948296,32154280,123064914.64,3.1997,1.8518518518518379,3.466666666666665,0.0671787199999998
2023-01-20,3.7428144,4.06911104,3.70442656,4.06911104,82441727,341718469.83,8.204,10.129870129870145,9.844559585492235,0.3742814400000003
2023-01-30,4.20346848,4.318632,4.00193232,4.02112624,100796003,430334752.43,10.0304,-1.1792452830188704,7.913669064748205,-0.04798480000000005
2023-01-31,4.05951408,4.08830496,3.9347536,3.97314144,51851896,214800551.26,5.1599,-1.1933174224343701,3.90243902439025,-0.04798480000000005
2023-02-01,3.99233536,4.06911104,3.95394752,4.04032016,60070058,251106789.76,5.9777,1.6908212560386549,2.9126213592233086,0.06717872000000025
2023-02-02,4.02112624,4.0307232,3.91555968,3.92515664,45242400,186164395.92,4.5022,-2.8503562945368266,2.941176470588232,-0.1151635200000003
