日期,开盘,收盘,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅,换手率
2023-04-14,8.39,8.17,8.44,8.06,201906.0,165701792.0,,,4.7146401985111535,0.0
2023-04-17,8.18,8.21,8.37,8.11,173126.0,142753040.0,0.4895960832313362,0.040000000000000924,3.2059186189889,0.0
2023-04-18,8.18,8.46,8.52,8.16,224498.0,188311056.0,3.0450669914738215,0.25,4.411764705882345,0.0
2023-04-19,8.41,8.62,8.71,8.35,187882.0,161441280.0,1.8912529550827228,0.15999999999999837,4.3113772455089965,0.0
2023-04-20,8.56,8.81,8.82,8.55,182057.0,158332608.0,2.2041763341067444,0.19000000000000128,3.1578947368421,0.0
2023-04-21,8.9,8.76,9.09,8.71,222862.0,197745152.0,-0.5675368898978461,-0.05000000000000071,4.362801377726739,0.0
2023-04-24,8.77,9.14,9.25,8.76,266106.0,240785696.0,4.337899543378998,0.3800000000000008,5.593607305936075,0.0
2023-04-25,9.01,9.25,9.3,8.84,287179.0,260457088.0,1.2035010940919078,0.10999999999999943,5.203619909502272,0.0
2023-04-26,9.0,10.18,10.18,8.96,675403.0,658906688.0,10.05405405405404,0.9299999999999997,13.616071428571413,0.0
2023-04-27,10.77,10.53,11.2,10.07,1048872.0,1143460224.0,3.438113948919441,0.34999999999999964,11.22144985104269,0.0
2023-04-28,10.05,11.58,11.58,9.76,983500.0,1084133120.0,9.971509971509974,1.0500000000000007,18.64754098360656,0.0
2023-05-04,11.56,12.74,12.74,11.36,798600.0,986246400.0,10.017271157167528,1.1600000000000001,12.147887323943669,0.0
2023-05-05,12.91,12.45,13.51,12.1,766184.0,970181184.0,-2.276295133438,-0.2900000000000009,11.652892561983473,0.0
2023-05-08,12.13,11.86,12.64,11.55,681672.0,817188736.0,-4.738955823293168,-0.5899999999999999,9.437229437229435,0.0
2023-05-09,11.68,11.37,12.1,11.31,521374.0,604146880.0,-4.131534569983142,-0.4900000000000002,6.984969053934563,0.0
2023-05-10,11.21,11.58,12.07,11.07,544794.0,630813888.0,1.8469656992084582,0.21000000000000085,9.033423667570009,0.0
2023-05-11,11.13,11.23,11.73,11.0,384710.0,435996224.0,-3.0224525043177852,-0.34999999999999964,6.63636363636364,0.0
2023-05-12,11.15,10.6,11.36,10.5,452191.0,490035072.0,-5.609973285841507,-0.6300000000000008,8.190476190476186,0.0
2023-05-15,10.72,10.44,10.87,10.14,313437.0,326300032.0,-1.5094339622641506,-0.16000000000000014,7.199211045364878,0.0
2023-05-16,10.45,10.04,10.46,9.98,185687.0,188761328.0,-3.831417624521072,-0.40000000000000036,4.809619238476958,0.0
2023-05-17,9.93,9.98,10.29,9.83,180929.0,181021728.0,-0.5976095617529764,-0.05999999999999872,4.679552390640886,0.0
2023-05-18,9.95,10.15,10.23,9.86,232124.0,234817200.0,1.7034068136272618,0.16999999999999993,3.752535496957414,0.0
2023-05-19,10.2,9.9,10.29,9.84,169667.0,169425024.0,-2.463054187192115,-0.25,4.57317073170731,0.0
2023-05-22,9.82,9.84,9.95,9.61,181014.0,176735232.0,-0.60606060606061,-0.0600000000000005,3.537981269510925,0.0
2023-05-23,9.91,9.6,9.94,9.6,93095.0,90559184.0,-2.4390243902439046,-0.2400000000000002,3.541666666666665,0.0
2023-05-24,9.6,9.71,9.85,9.53,128767.0,124931272.0,1.145833333333357,0.11000000000000121,3.3578174186778624,0.0
2023-05-25,9.62,9.5,9.82,9.32,164573.0,156267376.0,-2.1627188465499603,-0.21000000000000085,5.36480686695279,0.0
2023-05-26,9.51,9.79,9.94,9.51,125586.0,122679888.0,3.0526315789473513,0.28999999999999915,4.521556256572026,0.0
2023-05-29,9.72,9.86,9.93,9.68,160997.0,158380368.0,0.7150153217569066,0.07000000000000028,2.5826446280991737,0.0
2023-05-30,9.75,10.1,10.16,9.52,222407.0,221831968.0,2.4340770791074995,0.2400000000000002,6.722689075630258,0.0
2023-05-31,10.03,10.07,10.39,10.0,189670.0,192598528.0,-0.2970297029702862,-0.02999999999999936,3.9000000000000057,0.0
2023-06-01,10.08,10.49,10.73,10.01,381582.0,399116128.0,4.170804369414105,0.41999999999999993,7.192807192807199,0.0
2023-06-02,10.54,10.24,10.79,10.16,233921.0,242928576.0,-2.3832221163012424,-0.25,6.200787401574794,0.0
2023-06-05,10.3,10.64,10.78,10.17,231865.0,244864816.0,3.90625,0.40000000000000036,5.998033431661744,0.0
2023-06-06,10.64,10.54,10.99,10.5,298291.0,321064864.0,-0.9398496240601628,-0.10000000000000142,4.666666666666669,0.0
2023-06-07,10.64,10.98,11.04,10.3,353257.0,380839200.0,4.174573055028485,0.4400000000000013,7.18446601941746,0.0
2023-06-08,10.94,10.64,10.98,10.43,255804.0,271430272.0,-3.0965391621129323,-0.33999999999999986,5.2732502396931995,0.0
2023-06-09,10.62,10.79,10.98,10.53,315850.0,340492224.0,1.4097744360902054,0.14999999999999858,4.273504273504284,0.0
2023-06-12,10.72,10.89,11.23,10.72,275732.0,302122752.0,0.9267840593141896,0.10000000000000142,4.757462686567162,0.0
2023-06-13,10.7,10.94,11.26,10.67,255776.0,281559552.0,0.45913682277318735,0.049999999999998934,5.529522024367384,0.0
2023-06-14,10.95,10.72,11.25,10.63,243435.0,264995744.0,-2.010968921389389,-0.21999999999999886,5.832549388523041,0.0
2023-06-15,10.82,10.63,10.92,10.51,206094.0,220872192.0,-0.839552238805974,-0.08999999999999986,3.901046622264511,0.0
2023-06-16,10.6,10.45,10.79,10.31,192650.0,202618320.0,-1.6933207902163794,-0.1800000000000015,4.65567410281279,0.0
2023-06-19,10.48,10.2,10.53,10.13,194378.0,199492304.0,-2.392344497607657,-0.25,3.948667324777873,0.0
2023-06-20,10.22,10.17,10.45,10.12,110123.0,112757968.0,-0.2941176470588225,-0.02999999999999936,3.2608695652173925,0.0
2023-06-21,10.17,9.61,10.19,9.57,164015.0,160686992.0,-5.506391347099315,-0.5600000000000005,6.478578892371988,0.0
2023-06-26,9.61,9.04,9.67,8.97,237385.0,218791120.0,-5.93132154006244,-0.5700000000000003,7.803790412486055,0.0
2023-06-27,9.04,9.14,9.18,8.95,144167.0,131169224.0,1.106194690265494,0.10000000000000142,2.569832402234642,0.0
2023-06-28,9.13,8.98,9.13,8.75,135516.0,120620296.0,-1.7505470459518668,-0.16000000000000014,4.342857142857151,0.0
2023-06-29,9.02,9.18,9.3,8.97,120880.0,110673504.0,2.2271714922048824,0.1999999999999993,3.678929765886288,0.0
2023-06-30,9.21,9.17,9.29,9.06,102501.0,94276032.0,-0.10893246187363426,-0.009999999999999787,2.5386313465783514,0.0
2023-07-03,9.23,9.12,9.29,8.91,99466.0,90387536.0,-0.5452562704471142,-0.05000000000000071,4.264870931537587,0.0
2023-07-04,9.15,9.06,9.25,9.0,70095.0,63684680.0,-0.6578947368420907,-0.05999999999999872,2.7777777777777777,0.0
2023-07-05,9.06,9.09,9.21,9.01,72351.0,66053192.0,0.3311258278145601,0.02999999999999936,2.2197558268590574,0.0
2023-07-06,9.03,9.01,9.21,9.0,102447.0,93037240.0,-0.8800880088008833,-0.08000000000000007,2.333333333333343,0.0
2023-07-07,8.7,8.82,8.93,8.58,122458.0,107530944.0,-2.1087680355160843,-0.1899999999999995,4.079254079254075,0.0
2023-07-10,8.84,9.12,9.24,8.81,159760.0,144375104.0,3.4013605442176686,0.29999999999999893,4.8808172531214495,0.0
2023-07-11,9.12,8.95,9.17,8.87,99636.0,89475040.0,-1.8640350877192957,-0.16999999999999993,3.382187147688847,0.0
2023-07-12,8.99,8.76,9.04,8.73,65385.0,57914160.0,-2.122905027932953,-0.1899999999999995,3.5509736540664227,0.0
2023-07-13,8.79,8.98,9.04,8.7,96201.0,85431888.0,2.511415525114158,0.22000000000000064,3.9080459770114926,0.0
2023-07-14,8.99,9.08,9.26,8.98,88329.0,80676832.0,1.1135857461024523,0.09999999999999964,3.1180400890868527,0.0
2023-07-17,9.08,9.06,9.24,8.95,53582.0,48586360.0,-0.22026431718060735,-0.019999999999999574,3.2402234636871614,0.0
2023-07-18,9.11,9.02,9.12,8.96,61490.0,55570716.0,-0.44150110375277274,-0.040000000000000924,1.7857142857142672,0.0
2023-07-19,9.05,9.2,9.36,9.0,83122.0,76504432.0,1.9955654101995624,0.17999999999999972,3.999999999999994,0.0
2023-07-20,9.3,9.02,9.31,8.99,61775.0,56230156.0,-1.9565217391304346,-0.17999999999999972,3.5595105672969996,0.0
2023-07-21,8.94,9.05,9.13,8.91,61090.0,55024256.0,0.3325942350332678,0.030000000000001137,2.4691358024691428,0.0
2023-07-24,8.99,9.07,9.2,8.95,53532.0,48698512.0,0.22099447513812542,0.019999999999999574,2.7932960893854752,0.0
