code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
603213,2023-01-03,S,12.55,0.61,0.0212,0.1,1.0521,V4,1.055,0.527,0.5,reject_half
600406,2023-01-04,S,19.48,0.96,-0.0382,0.0517,1.0263,V4,0.43,0.43,1.0,confirmed
002230,2023-01-09,S,34.29,1.8,0.0029,0.0577,1.0266,V4,7.65,7.65,1.0,confirmed
300442,2023-01-10,S,22.75,1.05,0.0383,0.0181,1.105,V4,2.258,1.129,0.5,reject_half
603213,2023-01-10,S,12.55,0.61,-0.0336,-0.0379,1.0728,V4,1.481,0.741,0.5,reject_half
600391,2023-01-13,S,17.96,0.89,-0.0136,0.0646,1.0535,V4,1.063,0.531,0.5,reject_half
603599,2023-01-13,S,19.21,0.74,0.013,0.0167,1.0165,V4,0.602,0.602,1.0,confirmed
600391,2023-01-20,S,17.96,0.89,0.0548,0.0165,1.1943,V4,3.421,3.421,1.0,confirmed
000501,2023-02-01,S,10.44,0.53,0.0037,0.0537,1.0495,V4,0.925,0.925,1.0,confirmed
600768,2023-02-02,S,9.31,0.5,-0.0168,0.0077,1.1853,V4,3.433,1.717,0.5,reject_half
300970,2023-02-03,S,13.07,0.57,0.0118,0.0339,1.1482,V4,3.378,1.689,0.5,reject_half
603599,2023-02-03,S,20.11,0.77,-0.0025,0.0261,1.0033,V4,0.704,0.704,1.0,confirmed
002258,2023-02-07,S,17.69,0.7,0.0135,0.0197,0.9933,V4,-0.187,-0.094,0.5,reject_half
600690,2023-02-17,S,24.26,0.98,-0.0137,0.0621,1.0258,V4,-1.018,-1.018,1.0,confirmed
000063,2023-02-20,S,25.72,1.02,0.0572,0.02,1.1124,V4,5.613,5.613,1.0,confirmed
002827,2023-02-20,S,10.62,0.51,-0.014,-0.0098,0.9891,V4,-0.243,-0.122,0.5,reject_half
600801,2023-02-20,S,14.19,0.54,0.071,0.0117,1.106,V4,2.763,1.381,0.5,reject_half
002179,2023-02-23,S,41.34,2.17,0.0029,0.0292,1.0019,V4,0.021,0.01,0.5,reject_half
600993,2023-02-28,S,22.69,1.01,0.0224,-0.0338,1.0975,V4,1.249,1.249,1.0,confirmed
300244,2023-03-01,S,24.49,1.27,-0.0064,0.0852,1.0511,V4,0.971,0.485,0.5,reject_half
002179,2023-03-02,S,42.5,1.8,-0.0024,0.008,0.9781,V4,-0.535,-0.267,0.5,reject_half
300244,2023-03-08,S,23.84,1.16,0.007,0.0852,1.0798,V4,1.623,0.812,0.5,reject_half
600258,2023-03-13,S,23.46,1.05,0.0109,0.0167,0.9981,V4,-0.06,-0.03,0.5,reject_half
300244,2023-03-15,S,23.35,1.09,0.0091,0.0382,1.0145,V4,2.226,2.226,1.0,confirmed
300294,2023-03-17,S,34.55,1.69,0.0274,-0.0388,0.9964,V4,-0.089,-0.045,0.5,reject_half
300244,2023-03-22,S,23.11,0.92,0.0106,0.0852,1.1139,V4,2.84,1.42,0.5,reject_half
002007,2023-03-24,S,20.32,1.01,-0.0138,0.0497,1.0308,V4,0.808,0.808,1.0,confirmed
300294,2023-03-24,S,34.55,1.69,-0.0224,0.0483,1.0053,V4,0.093,0.047,0.5,reject_half
002007,2023-03-31,S,20.32,1.01,0.0336,0.0497,1.0308,V4,0.48,0.48,1.0,confirmed
002163,2023-03-31,S,12.12,0.52,0.0454,0.0049,0.9901,V4,-0.248,-0.124,0.5,reject_half
300294,2023-03-31,S,34.55,1.69,0.0359,0.0483,1.0053,V4,0.093,0.047,0.5,reject_half
300947,2023-04-06,S,13.71,0.66,-0.0178,0.0627,1.0846,V4,1.741,0.87,0.5,reject_half
601066,2023-04-19,S,26.24,1.16,-0.0191,0.0406,1.0036,V4,0.064,0.032,0.5,reject_half
601995,2023-05-08,S,40.98,1.84,-0.0087,0.1001,1.0928,V4,2.049,1.025,0.5,reject_half
301083,2023-05-22,S,11.99,0.55,0.0804,0.2,1.7225,V4,18.735,18.735,1.0,confirmed
000550,2023-05-24,S,12.04,0.55,-0.0106,0.0209,0.9963,V4,-0.097,-0.049,0.5,reject_half
688303,2023-05-24,S,40.28,1.96,0.0115,0.0638,1.0327,V4,0.657,0.328,0.5,reject_half
600699,2023-05-25,S,14.81,0.69,0.0091,0.0271,1.0005,V4,-0.006,-0.003,0.5,reject_half
600893,2023-06-05,S,42.47,1.96,-0.0225,0.0277,0.9998,V4,-0.022,-0.011,0.5,reject_half
603160,2023-06-05,S,51.06,2.36,-0.0156,0.0721,0.9837,V4,-0.369,-0.184,0.5,reject_half
688586,2023-06-05,S,13.34,0.61,-0.0061,0.0986,1.0413,V4,-0.09,-0.09,1.0,confirmed
600089,2023-06-08,S,15.9,0.76,0.0014,0.0445,0.9944,V4,-0.134,-0.067,0.5,reject_half
600699,2023-06-08,S,14.81,0.69,-0.0183,0.0424,1.1363,V4,4.595,4.595,1.0,confirmed
600893,2023-06-12,S,39.89,1.43,-0.0194,0.026,0.9963,V4,-0.123,-0.061,0.5,reject_half
301022,2023-06-15,S,23.72,1.19,-0.0423,-0.0146,1.0798,V4,2.798,2.798,1.0,confirmed
600089,2023-06-15,S,15.9,0.76,0.0085,0.026,1.0035,V4,-0.161,-0.161,1.0,confirmed
002465,2023-06-16,S,9.91,0.51,0.0235,0.016,1.0062,V4,-0.029,-0.029,1.0,confirmed
002831,2023-06-16,S,15.6,0.64,-0.0165,-0.0112,1.0085,V4,0.189,0.094,0.5,reject_half
300627,2023-06-19,S,19.96,0.94,0.0587,0.0095,1.0792,V4,1.664,0.832,0.5,reject_half
600893,2023-06-19,S,39.89,1.43,-0.0169,0.0269,1.0068,V4,0.168,0.084,0.5,reject_half
002053,2023-06-20,S,10.78,0.56,-0.0055,0.0196,0.9924,V4,-0.16,-0.08,0.5,reject_half
300627,2023-06-28,S,19.96,0.94,-0.0156,0.0287,1.1188,V4,1.934,1.934,1.0,confirmed
301160,2023-06-28,S,15.8,0.83,0.0177,0.0174,1.0064,V4,0.108,0.054,0.5,reject_half
600893,2023-06-28,S,41.43,1.91,0.0125,0.0277,1.0249,V4,-0.717,-0.717,1.0,confirmed
600585,2023-07-04,S,21.75,0.78,-0.0029,0.0343,1.0174,V4,2.443,2.443,1.0,confirmed
003037,2023-07-07,S,12.57,0.6,0.0056,0.0256,0.9896,V4,-0.235,-0.117,0.5,reject_half
301107,2023-07-07,S,14.69,0.55,0.0509,0.0546,1.1603,V4,4.257,2.129,0.5,reject_half
600827,2023-07-07,S,13.01,0.63,0.0254,0.0161,1.0053,V4,0.661,0.661,1.0,confirmed
000408,2023-07-11,S,21.05,0.95,-0.0026,0.018,1.0073,V4,0.144,0.072,0.5,reject_half
300629,2023-07-13,S,21.22,1.04,0.0025,0.0209,0.969,V4,-0.647,-0.324,0.5,reject_half
600199,2023-07-19,S,25.89,1.13,-0.0036,0.0634,1.0351,V4,0.018,0.018,1.0,confirmed
