code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
002038,2020-02-06,S,12.84,0.65,0.0105,-0.0372,1.0378,V3,0.731,0.365,0.5,reject_half
603708,2020-02-06,S,22.3,1.03,0.039,0.0783,1.0296,V3,-1.016,-1.016,1.0,confirmed
300520,2020-02-07,S,18.85,0.9,0.0999,-0.0123,1.2053,V3,5.557,5.557,1.0,confirmed
002468,2020-02-10,S,19.71,1.05,0.0042,0.0884,1.0136,V3,-1.014,-1.014,1.0,confirmed
002926,2020-02-10,S,10.35,0.55,0.065,0.1001,1.099,V3,0.987,0.987,1.0,confirmed
601211,2020-02-10,S,15.44,0.59,0.0066,0.0231,0.0,V3,-1.019,-0.51,0.5,stop_half
603508,2020-02-10,S,23.48,0.96,0.0111,0.0307,0.0,V3,-1.018,-0.509,0.5,stop_half
002253,2020-02-11,S,15.35,0.54,-0.0161,0.0216,0.0,V3,-1.021,-0.51,0.5,stop_half
603858,2020-02-11,S,18.31,0.89,0.0024,0.0762,1.0496,V3,-0.26,-0.26,1.0,confirmed
002558,2020-02-12,S,18.37,0.96,0.017,0.0609,0.0,V3,-1.014,-0.507,0.5,stop_half
002262,2020-02-17,S,11.22,0.53,0.0221,0.0696,1.0134,V3,-1.015,-1.015,1.0,confirmed
002926,2020-02-17,S,10.35,0.55,0.0387,0.1001,1.099,V3,-0.565,-0.565,1.0,confirmed
603508,2020-02-17,S,21.5,0.98,0.0358,0.0432,1.0407,V3,0.717,0.717,1.0,confirmed
002232,2020-02-18,S,10.21,0.51,0.0269,0.1005,1.1495,V3,-1.015,-0.507,0.5,skip_add
603260,2020-02-18,S,29.15,1.41,0.0122,0.0449,0.0,V3,-1.015,-0.508,0.5,stop_half
000776,2020-02-19,S,13.04,0.56,0.0,0.0491,0.9883,V3,-0.29,-0.145,0.5,reject_half
002302,2020-02-19,S,10.98,0.54,0.0048,-0.0067,0.9986,V3,-0.045,-0.022,0.5,reject_half
002558,2020-02-19,S,16.79,0.67,-0.0249,0.0789,1.1283,V3,-1.018,-0.509,0.5,skip_add
