id,capital,risk_ratio,n,sum_pnl,risk_invested,mean_risk,U,avgR,avgR_no_top5,ret_pct,dd_pct,peak_positions,avg_positions,reject_insufficient
G01,8401.0,0.008,408,17232.61,23425.0,57.414,0.7357,0.74,0.355,205.1,-10.2,14,3.9,12
G02,8401.0,0.00857,457,19793.94,26849.0,58.751,0.7372,0.7413,0.347,235.6,-10.0,15,4.3,16
G03,8401.0,0.01,617,32877.55,39287.0,63.674,0.8369,0.8241,0.342,391.4,-10.1,21,5.9,26
G04,8401.0,0.012855,784,52709.41,59149.0,75.445,0.8911,0.8517,0.313,629.6,-11.0,27,7.4,49
G05,8401.0,0.016,853,71160.99,78237.0,91.72,0.9096,0.8399,0.331,854.4,-12.3,28,7.9,84
G06,8401.0,0.02,891,93522.77,95041.0,106.668,0.984,0.8557,0.336,1124.7,-14.1,30,8.4,108
G07,8401.0,0.025,946,127551.91,120649.0,127.536,1.0572,0.8756,0.325,1534.0,-13.8,33,9.0,102
