date,balance,injected_total
2018-04-25,16183.39,0.0
2018-05-15,12582.76,0.0
2018-05-10,13857.27,0.0
2018-05-29,13024.92,0.0
2018-06-01,13072.31,0.0
2018-06-04,14332.61,0.0
2018-06-04,16481.9,0.0
2018-06-12,16525.61,0.0
2018-06-19,17801.97,0.0
2018-06-07,19374.43,0.0
2018-07-17,19347.46,0.0
2018-11-07,16403.18,0.0
2018-10-29,17683.09,0.0
2018-11-22,19596.66,0.0
2019-02-22,13011.59,0.0
2019-02-25,15500.88,0.0
2019-03-15,16848.68,0.0
2019-03-18,19304.41,0.0
2019-03-19,21154.26,0.0
2019-04-03,21143.25,0.0
2019-05-06,21032.26,0.0
2019-06-25,19219.67,0.0
2019-07-01,18939.94,0.0
2019-07-10,20927.95,0.0
2019-08-23,18846.17,0.0
2019-09-18,17639.43,0.0
2019-09-23,18849.83,0.0
2019-09-25,20792.86,0.0
2019-10-30,18746.42,0.0
2019-11-11,20639.47,0.0
2019-12-04,20580.57,0.0
2020-01-03,13730.12,0.0
2020-01-08,13629.9,0.0
2020-01-10,15538.27,0.0
2020-01-13,17618.75,0.0
2020-01-13,19076.29,0.0
2020-01-17,15974.3,0.0
2020-02-03,14880.15,0.0
2020-02-03,16107.54,0.0
2020-02-18,15505.15,0.0
2020-02-18,16900.62,0.0
2020-02-24,17333.03,0.0
2020-02-24,18620.15,0.0
2020-02-24,19907.27,0.0
2020-02-28,15184.13,0.0
2020-03-17,15893.55,0.0
2020-03-16,17068.96,0.0
2020-03-13,18234.38,0.0
2020-03-19,16490.45,0.0
2020-03-24,18582.35,0.0
2020-04-15,18897.62,0.0
2020-04-15,20670.23,0.0
2020-05-11,22854.58,0.0
2020-06-02,19594.65,0.0
2020-06-02,20863.98,0.0
2020-06-05,20829.78,0.0
2020-06-10,19535.07,0.0
2020-06-24,16092.23,0.0
2020-07-09,15951.43,0.0
2020-07-13,17726.3,0.0
2020-07-14,19970.26,0.0
2020-07-16,22043.08,0.0
2020-08-03,24135.14,0.0
2020-08-28,25553.34,0.0
2020-10-22,23817.91,0.0
2020-10-30,20186.31,0.0
2020-11-04,21018.76,0.0
2020-11-24,21690.14,0.0
2020-11-26,23114.39,0.0
2020-11-19,24298.82,0.0
2020-11-25,25579.18,0.0
2021-01-25,23783.89,0.0
2021-01-27,25583.18,0.0
2021-02-24,23214.04,0.0
2021-03-18,22569.05,0.0
2021-03-19,23868.15,0.0
2021-04-09,25708.6,0.0
2021-06-02,25993.51,0.0
2021-06-08,26002.55,0.0
2021-07-07,26220.28,0.0
2021-08-04,22170.11,0.0
2021-08-06,22391.18,0.0
2021-08-06,24026.28,0.0
2021-08-27,24673.58,0.0
2021-08-11,25775.36,0.0
2021-08-18,27357.57,0.0
2021-09-10,27303.5,0.0
2021-10-12,23554.31,0.0
2021-10-20,23301.94,0.0
2021-10-26,23430.7,0.0
2021-10-27,22276.48,0.0
2021-10-28,23370.93,0.0
2021-11-15,21569.68,0.0
2021-11-22,23047.07,0.0
2021-11-23,22752.09,0.0
2021-11-26,24835.03,0.0
2021-11-29,26261.28,0.0
2021-12-20,20934.53,0.0
2021-12-27,22020.53,0.0
2021-12-30,21766.97,0.0
2021-12-30,23503.21,0.0
2022-01-07,22187.42,0.0
2022-01-11,23672.93,0.0
2022-01-11,25581.27,0.0
2022-01-07,26869.33,0.0
2022-01-20,26375.01,0.0
2022-01-27,26617.76,0.0
2022-02-23,23012.08,0.0
2022-02-23,24124.75,0.0
2022-02-23,25237.42,0.0
2022-03-08,22054.04,0.0
2022-03-08,24160.99,0.0
2022-03-24,26528.8,0.0
2022-03-03,27784.33,0.0
2022-03-25,28829.81,0.0
2022-04-12,28742.92,0.0
2022-04-22,27358.67,0.0
2022-05-17,28559.07,0.0
2022-06-28,25424.3,0.0
2022-06-14,26470.5,0.0
2022-07-11,28840.11,0.0
2022-08-24,27257.88,0.0
2022-09-02,29917.85,0.0
2022-11-23,27760.83,0.0
2022-12-01,30420.7,0.0
2022-12-23,28293.5,0.0
2022-12-30,26375.76,0.0
2022-12-29,27578.72,0.0
2023-01-13,24557.35,0.0
2023-01-31,23855.82,0.0
2023-02-01,25622.55,0.0
2023-02-07,24192.26,0.0
2023-02-08,24410.18,0.0
2023-02-17,26466.15,0.0
2023-02-15,28210.46,0.0
2023-02-23,23168.15,0.0
2023-03-01,22037.11,0.0
2023-03-01,24362.95,0.0
2023-03-02,26583.48,0.0
2023-03-20,27379.56,0.0
2023-03-28,25427.16,0.0
2023-04-11,23281.23,0.0
2023-04-18,25599.07,0.0
2023-04-20,28201.25,0.0
2023-04-24,30314.36,0.0
2023-05-04,32394.41,0.0
2023-06-13,27148.21,0.0
2023-06-19,27785.28,0.0
2023-06-21,26997.64,0.0
2023-06-26,29139.26,0.0
2023-07-05,26887.35,0.0
2023-07-10,27426.21,0.0
2023-07-12,26560.43,0.0
2023-07-17,26013.52,0.0
2023-07-24,28048.39,0.0
2023-07-26,28619.96,0.0
2023-07-26,30219.2,0.0
2023-07-31,32267.52,0.0
2023-08-02,32250.12,0.0
2023-08-14,31222.08,0.0
2023-08-18,28891.48,0.0
2023-08-21,31032.41,0.0
2023-08-29,26417.67,0.0
2023-08-29,28342.71,0.0
2023-08-31,28054.04,0.0
2023-09-01,26955.17,0.0
2023-09-06,24537.16,0.0
2023-09-19,24720.4,0.0
2023-09-18,26736.39,0.0
2023-09-26,26989.23,0.0
2023-10-09,27555.74,0.0
2023-10-13,25888.15,0.0
2023-10-17,28768.26,0.0
2023-11-01,28993.71,0.0
2023-11-01,31135.29,0.0
2023-11-06,31341.0,0.0
2023-11-08,30616.07,0.0
2023-11-10,31713.46,0.0
2023-11-13,31436.82,0.0
2023-11-17,31657.23,0.0
2023-11-24,29933.44,0.0
2023-11-29,29959.3,0.0
2023-12-01,30135.4,0.0
2023-12-05,30189.72,0.0
2023-12-14,27545.62,0.0
2023-12-19,28729.15,0.0
2023-12-18,29902.83,0.0
2023-12-21,32568.46,0.0
2023-12-26,29783.93,0.0
2024-01-02,29964.46,0.0
2024-01-03,31122.52,0.0
2024-01-05,30433.76,0.0
2024-01-19,30370.32,0.0
2024-01-19,32088.46,0.0
2024-01-18,33408.8,0.0
2024-01-18,34444.28,0.0
2024-01-31,32804.46,0.0
2024-01-29,33904.31,0.0
2024-01-29,35071.73,0.0
2024-02-20,30876.37,0.0
2024-02-20,32228.06,0.0
2024-02-20,33550.46,0.0
2024-03-01,31073.08,0.0
2024-02-29,32160.54,0.0
2024-03-01,33468.35,0.0
2024-03-11,30309.56,0.0
2024-03-13,30315.72,0.0
2024-03-14,29869.25,0.0
2024-03-22,30873.85,0.0
2024-04-01,33020.63,0.0
2024-04-10,30278.75,0.0
2024-04-12,32436.48,0.0
2024-04-16,35170.11,0.0
2024-04-17,36794.24,0.0
2024-05-30,34256.33,0.0
2024-06-04,34347.08,0.0
2024-07-01,36796.58,0.0
2024-08-02,31755.86,0.0
2024-08-06,33666.57,0.0
2024-08-09,33004.96,0.0
2024-08-09,34815.69,0.0
2024-08-13,36703.95,0.0
2024-09-27,30603.6,0.0
2024-09-30,30648.91,0.0
2024-10-14,30174.02,0.0
2024-10-09,32207.61,0.0
2024-10-09,33747.1,0.0
2024-10-23,33121.67,0.0
2024-11-04,29475.94,0.0
2024-11-01,31762.88,0.0
2024-11-01,34049.82,0.0
2024-11-20,32132.95,0.0
2024-11-25,33779.13,0.0
2024-11-22,34778.63,0.0
2024-12-03,36408.2,0.0
2024-11-22,37407.7,0.0
2025-01-08,37328.28,0.0
2025-02-25,31384.0,0.0
2025-03-06,32995.89,0.0
2025-03-06,34760.84,0.0
2025-03-10,36340.99,0.0
2025-02-25,37520.61,0.0
2025-05-30,34761.29,0.0
2025-05-13,36066.19,0.0
2025-06-06,37736.15,0.0
2025-07-07,29951.25,0.0
2025-07-18,29802.9,0.0
2025-07-28,33561.87,0.0
2025-07-31,35169.59,0.0
2025-08-01,37248.59,0.0
2025-08-05,37375.11,0.0
2025-08-14,37653.48,0.0
2025-08-21,34877.36,0.0
2025-08-29,36559.25,0.0
2025-08-27,39248.48,0.0
2025-09-16,36828.25,0.0
2025-09-25,31951.8,0.0
2025-10-09,31984.44,0.0
2025-10-14,33077.47,0.0
2025-10-27,33345.62,0.0
2025-10-28,33565.9,0.0
2025-10-29,35494.93,0.0
2025-11-04,35207.48,0.0
2025-11-07,36795.62,0.0
2025-11-13,34901.02,0.0
2025-11-24,34668.33,0.0
2025-11-21,36294.52,0.0
2025-12-02,33863.78,0.0
2025-12-09,34613.14,0.0
2025-12-15,33576.5,0.0
2025-12-17,34683.96,0.0
2025-12-22,34637.6,0.0
2025-12-23,34913.35,0.0
2025-12-30,33226.57,0.0
2026-01-06,31898.68,0.0
2026-01-16,31761.41,0.0
2026-01-21,33165.54,0.0
2026-01-23,34010.37,0.0
2026-01-29,34155.91,0.0
2026-02-03,33954.48,0.0
2026-02-12,34522.69,0.0
2026-02-13,35926.47,0.0
2026-02-26,34523.49,0.0
2026-02-27,35873.69,0.0
2026-03-02,36333.74,0.0
2026-03-09,34621.68,0.0
2026-03-10,35667.14,0.0
2026-03-13,33423.72,0.0
2026-03-17,34175.97,0.0
2026-03-17,35920.1,0.0
2026-03-20,38006.06,0.0
2026-03-23,39273.43,0.0
2026-03-19,40611.0,0.0
2026-04-03,35434.15,0.0
2026-04-02,36552.55,0.0
2026-04-21,35008.49,0.0
2026-04-22,35431.23,0.0
2026-04-27,35583.25,0.0
2026-05-06,35568.5,0.0
2026-05-08,35086.48,0.0
2026-05-08,36609.43,0.0
2026-05-13,36077.79,0.0
2026-05-11,37901.07,0.0
2026-05-22,33058.91,0.0
2026-05-25,33338.84,0.0
2026-05-28,34032.33,0.0
2026-05-28,35860.41,0.0
2026-06-05,35686.68,0.0
2026-06-05,37623.71,0.0
2026-06-04,38838.64,0.0
2026-06-18,35738.0,0.0
2026-06-22,36054.56,0.0
2026-06-22,37809.68,0.0
2026-06-25,37797.7,0.0
2026-07-08,36808.81,0.0
2026-07-08,38075.18,0.0
2026-07-13,36992.55,0.0
2026-07-17,38299.9,0.0
2026-07-17,39304.4,0.0
2026-07-28,40692.7,0.0
2026-07-17,41730.68,0.0
