date,balance,injected_total
2023-12-21,21372.8,0.0
2023-12-26,18588.27,0.0
2024-01-02,18768.8,0.0
2024-01-03,19926.86,0.0
2024-01-05,19238.1,0.0
2024-01-19,19174.66,0.0
2024-01-19,20892.8,0.0
2024-01-18,22213.14,0.0
2024-01-18,23248.62,0.0
2024-01-31,21608.8,0.0
2024-01-29,22708.65,0.0
2024-01-29,23876.07,0.0
2024-02-20,19680.71,0.0
2024-02-20,21032.4,0.0
2024-02-20,22354.8,0.0
2024-03-01,19877.42,0.0
2024-02-29,20964.88,0.0
2024-03-01,22272.69,0.0
2024-03-11,19113.9,0.0
2024-03-13,19120.06,0.0
2024-03-14,18673.59,0.0
2024-03-22,19678.19,0.0
2024-04-01,21824.97,0.0
2024-04-10,19083.09,0.0
2024-04-12,21240.82,0.0
2024-04-16,23974.45,0.0
2024-04-17,25598.58,0.0
2024-05-30,23060.67,0.0
2024-06-04,23151.42,0.0
2024-07-01,25600.92,0.0
2024-08-02,20560.2,0.0
2024-08-06,22470.91,0.0
2024-08-09,21809.3,0.0
2024-08-09,23620.03,0.0
2024-08-13,25508.29,0.0
2024-09-27,19407.94,0.0
2024-09-30,19453.25,0.0
2024-10-14,18978.36,0.0
2024-10-09,21011.95,0.0
2024-10-09,22551.44,0.0
2024-10-23,21926.01,0.0
2024-11-04,18280.28,0.0
2024-11-01,20567.22,0.0
2024-11-01,22854.16,0.0
2024-11-20,20937.29,0.0
2024-11-25,22583.47,0.0
2024-11-22,23582.97,0.0
2024-12-03,25212.54,0.0
2024-11-22,26212.04,0.0
2025-01-08,26132.62,0.0
2025-02-25,20188.34,0.0
2025-03-06,21800.23,0.0
2025-03-06,23565.18,0.0
2025-03-10,25145.33,0.0
2025-02-25,26324.95,0.0
2025-05-30,23565.63,0.0
2025-05-13,24870.53,0.0
2025-06-06,26540.49,0.0
2025-07-07,18755.59,0.0
2025-07-18,18607.24,0.0
2025-07-28,22366.21,0.0
2025-07-31,23973.93,0.0
2025-08-01,26052.93,0.0
2025-08-05,26179.45,0.0
2025-08-14,26457.82,0.0
2025-08-21,23681.7,0.0
2025-08-29,25363.59,0.0
2025-08-27,28052.82,0.0
2025-09-16,25632.59,0.0
