code,date,grade,r,entry,cause
600054,2015-02-26,S,3.19,9.97,slow_draw
000963,2015-02-27,S,3.76,12.57,slow_draw
600557,2015-02-27,S,2.89,19.25,slow_draw
600315,2015-03-09,S,3.32,34.33,fade_high
002186,2015-03-11,S,5.45,19.47,slow_draw
002140,2015-03-12,S,2.76,14.86,slow_draw
000963,2015-03-13,S,4.45,13.02,fade_high
000869,2015-03-19,S,5.52,29.83,slow_draw
002566,2015-03-20,S,3.26,13.95,slow_draw
600859,2015-03-23,S,5.6,14.39,slow_draw
000869,2015-03-26,S,7.14,30.83,slow_draw
000823,2015-03-30,S,3.47,11.18,slow_draw
002041,2015-03-31,S,5.81,13.5,fade_high
000538,2015-04-02,S,-0.28,36.45,slow_draw
600535,2015-04-30,S,0.07,28.51,slow_draw
000553,2015-05-04,S,5.4,15.98,fade_high
000553,2015-05-25,S,5.79,14.78,slow_draw
601877,2016-08-29,S,1.95,17.02,slow_draw
600566,2016-09-28,S,2.12,20.29,fade_high
002649,2016-10-14,S,0.63,11.96,slow_draw
000423,2016-10-26,S,-1.68,46.57,fade_high
000423,2016-11-16,S,-2.19,46.25,fade_high
600830,2016-12-09,S,0.08,11.52,slow_draw
600156,2016-12-13,S,-1.01,11.92,slow_draw
600501,2016-12-14,S,1.92,18.93,fade_high
603099,2016-12-15,S,-3.58,20.8,slow_draw
002321,2016-12-16,S,-2.66,10.77,fade_high
600615,2016-12-21,S,-1.53,17.44,slow_draw
002598,2016-12-27,S,-1.94,12.24,slow_draw
600774,2016-12-27,S,-0.27,16.12,slow_draw
600501,2016-12-28,S,2.86,18.59,fade_high
600703,2016-12-30,S,2.71,11.85,slow_draw
002179,2017-01-04,S,1.93,10.92,slow_draw
600501,2017-01-05,S,2.08,18.59,slow_draw
002008,2017-01-09,S,2.37,21.3,slow_draw
002453,2017-02-03,S,-0.62,10.9,fade_high
000400,2017-02-08,S,-1.11,16.98,slow_draw
300084,2017-02-09,S,0.73,12.27,slow_draw
002188,2017-02-10,S,-1.5,28.86,slow_draw
002462,2017-02-21,S,0.76,32.78,slow_draw
600526,2017-02-21,S,-1.28,12.54,slow_draw
601238,2017-02-24,S,0.78,15.47,slow_draw
000400,2017-03-01,S,-1.27,16.83,slow_draw
000400,2017-03-08,S,-0.94,16.68,slow_draw
002009,2017-03-13,S,-3.75,14.65,slow_draw
600129,2017-03-13,S,-2.54,17.81,slow_draw
002023,2017-03-14,S,-5.45,14.45,slow_draw
000400,2017-03-15,S,-0.53,16.4,slow_draw
002023,2017-03-21,S,-4.17,14.0,slow_draw
603989,2017-03-22,S,-0.41,24.73,slow_draw
002700,2017-03-27,S,-2.0,12.75,fade_high
002373,2017-03-31,S,1.28,13.87,fade_high
002581,2017-03-31,S,-2.46,25.52,slow_draw
002573,2017-04-05,S,3.09,17.33,slow_draw
600967,2017-04-06,S,-3.1,13.06,limit_down
600150,2017-04-07,S,-3.56,27.59,slow_draw
603989,2017-04-07,S,-0.7,25.45,slow_draw
603968,2017-04-19,S,-1.35,19.19,slow_draw
002275,2017-04-20,S,-2.11,13.7,slow_draw
002048,2017-04-25,S,-2.96,16.83,slow_draw
002424,2017-04-25,S,0.36,16.56,fade_high
000988,2017-04-27,S,-1.92,14.48,slow_draw
600600,2017-04-27,S,0.71,28.11,fade_high
600756,2017-04-27,S,1.35,20.14,jump_gap
600706,2017-04-28,S,0.39,16.21,slow_draw
002268,2017-05-02,S,-3.83,19.55,jump_gap
300001,2017-05-02,S,-0.67,16.52,limit_down
600292,2017-05-04,S,-1.62,11.86,limit_down
600897,2017-05-04,S,0.86,13.48,slow_draw
000669,2017-05-09,S,-1.0,11.93,slow_draw
002643,2017-05-09,S,-0.34,12.88,slow_draw
600292,2017-05-11,S,-1.64,11.86,limit_down
600004,2017-05-12,S,0.78,10.41,slow_draw
