code,date,exit,exit_date,r,stopped,reason
002428,2014-11-05,14.06,2015-01-19,-0.018424137931034482,True,止损触发(层面1)
600654,2014-11-05,10.5,2014-12-08,-0.01596,True,止损触发(层面1)
600292,2014-11-06,15.94,2014-12-09,-0.018354545454545453,True,止损触发(层面1)
600436,2014-11-06,21.490778224143096,2014-11-18,-0.6562667696763264,False,收线未确认平仓
000701,2014-11-12,11.81,2014-12-05,-1.0173903846153838,True,止损触发(层面1)
000917,2014-11-12,17.81,2014-12-05,-0.018542465753424657,True,止损触发(层面1)
002428,2014-11-12,13.78,2015-01-19,0.06976760563380102,True,止损触发(层面1)
300070,2014-11-12,11.102212094894304,2014-11-20,-0.11827304483160074,False,收线未确认平仓
600706,2014-11-12,12.25,2014-12-22,1.052155932203391,True,止损触发(层面1)
600111,2014-11-13,13.943765237707392,2014-11-18,-0.10334138598655965,False,收线未确认平仓
600436,2014-11-13,21.490778224143096,2014-11-18,-0.6562667696763264,False,收线未确认平仓
600309,2014-11-14,12.96,2015-02-06,2.086739655172415,True,止损触发(层面1)
600597,2014-11-14,13.276879680157347,2014-11-19,-0.6851018331147962,False,收线未确认平仓
600648,2014-11-14,23.70893902031314,2014-11-19,1.7352500216097235,False,收线未确认平仓
000049,2014-11-17,19.943863380312607,2014-12-08,-0.5992141703504819,False,收线未确认平仓
600729,2014-11-17,13.07,2015-01-19,-0.014825373134328359,True,止损触发(层面1)
000826,2014-11-21,17.206360419077267,2014-11-27,0.22218176677864937,False,收线未确认平仓
601601,2014-11-21,22.29,2015-05-18,17.165098039215685,True,止损触发(层面1)
600535,2014-11-24,23.158035731167107,2014-12-03,-0.05057986615601434,False,收线未确认平仓
300257,2014-11-25,16.36,2014-12-03,-0.01751267605633803,True,止损触发(层面1)
002428,2014-11-26,14.08,2014-12-24,-0.015508695652173915,True,止损触发(层面1)
600805,2014-11-26,10.56,2014-12-30,-0.014862962962962962,True,止损触发(层面1)
600292,2014-11-27,15.94,2014-12-09,-0.018354545454545453,True,止损触发(层面1)
601601,2014-11-28,22.29,2015-05-18,17.165098039215685,True,止损触发(层面1)
002106,2014-12-01,11.76,2014-12-19,-0.014896666666666667,True,止损触发(层面1)
000869,2014-12-02,28.24,2015-01-19,2.7311946428571408,True,止损触发(层面1)
002304,2014-12-03,41.95,2015-07-03,7.416326388888892,True,止损触发(层面1)
600805,2014-12-03,10.89,2014-12-19,-0.014778571428571427,True,止损触发(层面1)
600831,2014-12-03,9.09,2014-12-05,-1.013946,True,止损(确认期)
002106,2014-12-08,11.76,2014-12-19,-0.014896666666666667,True,止损触发(层面1)
600329,2014-12-08,11.340930135193682,2014-12-17,-0.35812907725227067,False,收线未确认平仓
000701,2014-12-10,12.67,2014-12-19,-0.016892982456140352,True,止损触发(层面1)
002653,2014-12-16,16.51,2015-01-15,-1.014228089887637,True,止损(确认期)
002038,2015-01-05,16.068781954043367,2015-01-08,0.06128546584653283,False,收线未确认平仓
