id,signals,capital,risk_ratio,max_positions,monthly_inject,min_date,window_min,window_max,risk_growth,note,skip,max_date,confirm_shortfall_skip
B26,产出/输出/backtest_r43_t2/signals.csv,8401.0,0.025,999,0.0,,,,False,B26,False,,True
B7y,产出/输出/backtest_r43_t2/signals.csv,8401.0,0.025,999,0.0,2019-01-01,,,False,B7y,False,,True
Binj,产出/输出/backtest_r43_t2/signals.csv,8401.0,0.025,999,3000.0,,,,True,Binj,False,,True
B30k,产出/输出/backtest_r43_t2/signals.csv,30000.0,0.025,999,0.0,,,,False,B30k,False,,True
B128,产出/输出/backtest_r43_t2/signals.csv,8401.0,0.012855,999,0.0,,,,False,B128,False,,True
B5,产出/输出/backtest_r43_t2/signals.csv,8401.0,0.025,5,0.0,,,,False,B5,False,,True
