start,trough,end,peak,trough_val,depth_pct,trough_days
2023-05-25,2023-06-08,2023-05-25,11340.2,10666.3,-5.9,14
2023-07-04,2023-08-23,2023-07-04,11989.8,10764.7,-10.2,50
2024-01-04,2024-09-13,2024-01-04,14999.4,13660.7,-8.9,253
2024-10-08,2025-02-18,2024-10-08,16017.5,14981.3,-6.5,133
2026-03-03,2026-04-07,2026-03-03,19204.8,17858.6,-7.0,35
2026-06-17,2026-07-13,未恢复,20442.7,19251.0,-5.8,26
