start,trough,end,peak,trough_val,depth_pct,trough_days
2011-11-28,2012-05-25,2011-11-28,9103.9,8361.9,-8.2,179
2013-05-20,2014-06-24,2013-05-20,9725.0,9188.8,-5.5,400
2014-12-08,2014-12-11,2014-12-08,13540.1,12558.2,-7.3,3
2017-01-05,2017-05-11,2017-01-05,16967.9,15230.7,-10.2,126
2017-11-13,2018-02-06,2017-11-13,18506.3,17376.8,-6.1,85
2020-02-26,2020-03-18,2020-02-26,23210.9,21541.1,-7.2,21
