start,trough,end,peak,trough_val,depth_pct,trough_days
2011-11-28,2012-05-25,2011-11-28,9103.9,8424.5,-7.5,179
2013-05-20,2014-06-24,2013-05-20,9716.6,9180.4,-5.5,400
2017-04-14,2017-05-11,2017-04-14,13510.8,12664.8,-6.3,27
2017-11-13,2017-11-27,2017-11-13,15030.7,14139.4,-5.9,14
2019-04-12,2019-11-14,2019-04-12,16222.6,15313.2,-5.6,216
2020-02-26,2020-03-19,2020-02-26,17191.6,15854.4,-7.8,22
