code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
600926,杭州银行,16.18,0.18575851393189957,0.0,347983.0,16.266,15.878,0,A,钻潜评级策略,weak,0.5R,16.56,15.93,0.63,16.53,15.96,未突破,637097.0,8.8,达标,
600993,马应龙,23.42,-0.8467400508043954,0.0,47920.0,24.363999999999997,24.019,0,A,钻潜评级策略,good,1R,24.1,22.99,1.11,24.05,23.04,未突破,118447.0,1.3,达标,
601059,信达证券,16.64,-1.0701545778834753,0.0,55721.0,16.686,16.6115,0,A,钻潜评级策略,good,1R,16.91,16.34,0.57,16.88,16.37,未突破,132202.0,0.7,达标,
601136,首创证券,14.69,-0.9440323668240103,0.0,87231.0,14.825999999999999,14.323999999999998,0,A,钻潜评级策略,good,1R,15.14,14.44,0.7,15.11,14.47,未突破,182912.0,5.9,达标,
601156,东航物流,17.37,1.9366197183098732,0.0,124600.0,17.134,16.631999999999998,0,A,钻潜评级策略,good,1R,17.58,16.72,0.86,17.54,16.75,未突破,188811.0,7.1,达标,
601607,上海医药,16.43,-0.18226002430133947,0.0,104993.0,16.637999999999998,16.616500000000002,0,A,钻潜评级策略,weak,0.5R,16.96,16.22,0.74,16.93,16.25,未突破,232522.0,5.5,达标,
601633,长城汽车,15.72,-1.5654351909830888,0.0,195298.0,16.252,16.038,0,A,钻潜评级策略,bad,0.5R,16.53,15.72,0.81,16.5,15.75,未突破,274960.0,9.8,达标,
601838,成都银行,17.97,0.44717719396309974,0.0,158306.0,18.18,18.326,0,A,钻潜评级策略,weak,0.5R,18.63,17.76,0.87,18.59,17.8,未突破,351309.0,-1.4,达标,
601939,建设银行,10.11,1.5060240963855387,0.0,2029714.0,10.294,10.2815,0,A,钻潜评级策略,good,1R,10.22,9.7,0.52,10.2,9.72,未突破,2365991.0,3.3,达标,
601966,玲珑轮胎,11.27,-1.140350877192986,0.0,98553.0,11.528,11.1485,0,A,钻潜评级策略,good,1R,11.38,10.84,0.54,11.36,10.86,未突破,181361.0,8.9,达标,
