mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d,vol_ratio,mom20
prebreak,600727,2000-05-17,S,S,A,C,S,S,A,13.8919,13.21,12.57,0.64,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.7617,0.0550098077364797
prebreak,000682,2000-12-01,S,S,A,C,S,S,A,15.7715,14.17,13.57,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.3287,0.0055490828101807
prebreak,600076,2001-01-16,S,S,A,C,S,S,A,11.3986,11.85,11.24,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.0878,0.6038117687985285
prebreak,600207,2001-03-28,S,S,A,C,S,S,A,16.8095,16.86,16.12,0.74,,1,16.86,16.4525,2001-04-04,0,-0.5676,1,16.86,16.12,2001-04-06,1,-1.0167,1,16.86,16.12,2001-04-06,1,-1.0167,3.4654,-0.0182231440224542
prebreak,600062,2009-09-01,S,S,A,C,S,S,A,10.8453,11.2,10.62,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.0592,-0.0073791463026814
prebreak,600486,2009-11-19,S,S,A,C,S,S,A,10.7133,10.12,9.6,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.1181,0.0284337903475795
prebreak,600600,2009-12-10,S,S,A,C,S,S,A,27.737,28.67,27.18,1.49,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,28.67,28.67,2010-01-22,1,-0.0146,1.7593,-0.007078433691557
prebreak,000869,2010-02-26,S,S,A,C,S,S,A,40.7983,41.52,39.91,1.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,2.0433,0.0604693549439698
prebreak,600875,2010-04-20,S,S,A,C,S,S,A,19.6364,18.27,17.48,0.79,,1,18.27,20.9683,2010-04-27,0,3.3959,1,18.27,20.5366,2010-05-05,0,2.8497,1,18.27,18.27,2010-05-12,1,-0.0176,1.7382,0.0196700414158388
prebreak,601628,2010-04-20,S,S,A,C,S,S,A,20.7466,21.97,21.01,0.96,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.8185,0.672530520321698
prebreak,601628,2010-05-19,S,S,A,C,S,S,A,18.5667,20.19,19.32,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.0604,0.1695518619118956
prebreak,600150,2010-05-21,S,S,A,C,S,S,A,28.8019,30.23,29.03,1.2,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.7557,0.0880116232262424
prebreak,600685,2010-05-24,S,S,A,C,S,S,A,15.156,16.8,16.23,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.8994,0.1500772970988368
prebreak,601628,2010-05-26,S,S,A,C,S,S,A,18.1458,20.19,19.32,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.0604,0.1695518619118956
prebreak,601628,2010-06-02,S,S,A,C,S,S,A,18.1533,18.83,17.93,0.9,,0,0.0,0.0,,0,0.0,1,18.83,18.9876,2010-06-22,0,0.1592,1,18.83,17.93,2010-07-12,1,-1.0153,2.1475,0.0166507981121724
prebreak,600150,2010-06-04,S,S,A,C,S,S,A,28.7255,29.28,27.88,1.4,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.2853,0.0442274168516043
prebreak,600150,2010-06-11,S,S,A,C,S,S,A,28.2894,28.83,27.74,1.09,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,4.3485,0.0593462103721091
prebreak,600054,2010-08-05,S,S,A,C,S,S,A,11.486,11.51,11.01,0.5,,1,11.51,12.1582,2010-08-12,0,1.2781,1,11.51,12.2277,2010-08-19,0,1.4171,1,11.51,12.0365,2010-09-16,0,1.0349,2.9138,0.0497604771816231
prebreak,600600,2010-08-09,S,S,A,C,S,S,A,28.1021,28.01,26.57,1.44,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.1065,0.1172732640505727
prebreak,600150,2010-09-02,S,S,A,C,S,S,A,27.7664,27.82,26.41,1.41,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8104,0.0419529400086262
prebreak,601088,2010-09-08,S,S,A,C,S,S,A,9.2076,9.39,8.89,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,9.39,10.3742,2010-11-12,0,1.9529,4.7321,0.032166494136091
prebreak,601628,2010-11-19,S,S,A,C,S,S,A,17.9743,20.53,19.48,1.05,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.7222,0.5738010919407586
prebreak,002028,2011-02-15,S,S,A,C,S,S,A,12.0084,11.85,11.32,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.3154,-0.1044542202575037
prebreak,002028,2011-03-01,S,S,A,C,S,S,A,12.0441,12.18,11.64,0.54,,1,12.18,12.1613,2011-03-04,0,-0.0517,1,12.18,12.1613,2011-03-04,0,-0.0517,1,12.18,12.1613,2011-03-04,0,-0.0517,1.5883,0.0639904904438011
prebreak,000668,2011-03-07,S,S,A,C,S,S,A,12.4006,11.93,11.36,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.4747,0.0532829199785056
prebreak,002028,2011-03-08,S,S,A,C,S,S,A,12.2174,12.51,11.86,0.65,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.9364,0.1342795491573749
prebreak,600600,2011-04-07,S,S,A,C,S,S,A,25.273,25.39,24.34,1.05,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.3289,-0.0321885279800006
prebreak,600600,2011-04-14,S,S,A,C,S,S,A,26.0138,26.21,25.05,1.16,,0,0.0,0.0,,0,0.0,1,26.21,25.9823,2011-04-28,0,-0.2134,1,26.21,26.21,2011-06-17,1,-0.0172,1.7587,0.0143024261735706
prebreak,600561,2011-04-18,S,S,A,C,S,S,A,11.4396,11.9,11.34,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,4.5458,0.1438282046152066
prebreak,600138,2011-04-29,S,S,A,C,S,S,A,8.8979,9.95,9.43,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,2.1196,0.176308671974696
prebreak,600138,2011-05-09,S,S,A,C,S,S,A,8.783,9.95,9.43,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,2.1196,0.176308671974696
prebreak,600600,2011-06-21,S,S,A,C,S,S,A,26.3527,28.08,26.59,1.49,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.2571,0.0059824555250518
prebreak,600600,2011-07-05,S,S,A,C,S,S,A,27.8106,27.44,26.28,1.16,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8588,-0.0051492705640058
prebreak,600859,2011-07-13,S,S,A,C,S,S,A,25.162,23.72,22.73,0.99,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.4959,0.0301852749684008
prebreak,000568,2011-07-14,S,S,A,C,S,S,A,30.0422,29.06,27.79,1.27,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.0326,0.0684626604548293
prebreak,000878,2011-07-26,S,S,A,C,S,S,A,19.4744,20.6,19.67,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,2.8678,0.2873238463772005
prebreak,000655,2011-08-01,S,S,A,C,S,S,A,17.2348,17.45,16.56,0.89,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8741,0.0192857186988857
prebreak,000878,2011-09-07,S,S,A,C,S,S,A,17.0945,18.07,17.31,0.76,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,10.2302,0.2184762313549471
prebreak,002128,2011-09-07,S,S,A,C,S,S,A,11.0331,12.09,11.49,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,2.0349,0.4080742229724179
prebreak,000568,2011-09-16,S,S,A,C,S,S,A,26.8882,28.8,27.42,1.38,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.878,0.1658625881595372
prebreak,000858,2011-09-16,S,S,A,C,S,S,A,25.7978,27.01,25.7,1.31,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.4859,0.21358495682784
prebreak,601601,2011-09-20,S,S,A,C,S,S,A,12.9118,13.18,12.62,0.56,,1,13.18,12.62,2011-09-23,1,-1.0173,1,13.18,12.62,2011-09-23,1,-1.0173,1,13.18,12.62,2011-09-23,1,-1.0173,1.9099,0.0217704902156434
prebreak,601601,2011-09-27,S,S,A,C,S,S,A,11.9249,13.18,12.62,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,13.18,12.62,2011-11-02,1,-1.0173,2.0362,0.1052467000263643
prebreak,000568,2011-09-30,S,S,A,C,S,S,A,24.7856,25.47,24.16,1.31,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8945,-0.0789358158371609
prebreak,600009,2011-10-11,S,S,A,C,S,S,A,9.8022,10.11,9.61,0.5,,1,10.11,10.3435,2011-10-18,0,0.4514,1,10.11,10.688,2011-10-25,0,1.14,1,10.11,10.11,2011-12-09,1,-0.0154,1.7837,-0.0519004463130772
prebreak,601001,2011-10-12,S,S,A,C,S,S,A,12.3816,12.89,12.31,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.919,0.1352087354310041
prebreak,600009,2011-10-25,S,S,A,C,S,S,A,10.688,10.62,10.07,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.3935,0.0259148132979112
prebreak,601001,2011-10-26,S,S,A,C,S,S,A,11.8739,12.51,11.88,0.63,,0,0.0,0.0,,0,0.0,1,12.51,12.4988,2011-11-09,0,-0.0328,1,12.51,12.2645,2011-11-10,0,-0.4046,1.5332,0.0285370794194583
prebreak,600844,2011-10-27,S,S,A,C,S,S,A,20.05,19.91,18.96,0.95,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.1559,-0.024975514201763
prebreak,600009,2011-11-01,S,S,A,C,S,S,A,10.5568,10.62,10.07,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.0223,0.0762298373914913
prebreak,600844,2011-11-03,S,S,A,C,S,S,A,22.7,19.91,18.96,0.95,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.2656,0.0035282258064517
prebreak,600123,2011-11-14,S,S,A,C,S,S,A,10.9938,11.02,10.46,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8954,0.1091416307617922
prebreak,600779,2011-11-17,S,S,A,C,S,S,A,18.6711,19.51,18.61,0.9,,0,0.0,0.0,,0,0.0,1,19.51,18.61,2011-11-30,1,-1.0158,1,19.51,18.61,2011-11-30,1,-1.0158,1.5596,0.0472761289148062
prebreak,601788,2011-11-17,S,S,A,C,S,S,A,10.0336,10.5,10.0,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.3781,0.1609451634007928
prebreak,000858,2011-11-21,S,S,A,C,S,S,A,24.2519,25.19,24.18,1.01,,1,25.19,26.0622,2011-11-28,0,0.844,1,25.19,24.6519,2011-12-05,0,-0.5513,1,25.19,24.18,2011-12-06,1,-1.0183,1.6502,-0.0001724440553754
prebreak,601088,2011-11-24,S,S,A,C,S,S,A,10.0642,11.02,10.48,0.54,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.7846,0.0272369287366556
prebreak,601788,2011-11-24,S,S,A,C,S,S,A,9.5514,10.5,10.0,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.3781,0.1609451634007928
prebreak,601601,2011-11-29,S,S,A,C,S,S,A,11.9566,12.21,11.64,0.57,,1,12.21,12.0704,2011-12-05,0,-0.261,1,12.21,12.0704,2011-12-05,0,-0.261,1,12.21,12.0704,2011-12-05,0,-0.261,3.1441,-0.0934428788939714
prebreak,002299,2011-12-01,S,S,A,C,S,S,A,12.6233,12.76,12.09,0.67,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.0488,0.1549440806140554
prebreak,601601,2011-12-06,S,S,A,C,S,S,A,12.2476,12.21,11.64,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.0475,-0.0934428788939714
prebreak,600875,2011-12-07,S,S,A,C,S,S,A,20.2386,21.57,20.45,1.12,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,3.2202,0.1612796930168831
prebreak,601628,2011-12-07,S,S,A,C,S,S,A,14.2327,14.25,13.51,0.74,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8586,0.023376714902652
prebreak,000858,2011-12-19,S,S,A,C,S,S,A,23.3841,23.97,22.74,1.23,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.8774,0.1110676392219716
prebreak,000858,2011-12-26,S,S,A,C,S,S,A,22.4417,23.86,22.71,1.15,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.8774,0.1059688724170315
prebreak,000538,2011-12-29,S,S,A,C,S,S,A,18.3381,20.08,19.05,1.03,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.0183,0.1310516047030647
prebreak,002038,2011-12-30,S,S,A,C,S,S,A,10.706,11.49,10.92,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.6904,0.0635163808628029
prebreak,600600,2012-01-06,S,S,A,C,S,S,A,24.4774,28.64,27.25,1.39,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.9462,0.0834799524351455
prebreak,002038,2012-01-10,S,S,A,C,S,S,A,9.5588,11.49,10.92,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.6904,0.0635163808628029
prebreak,600535,2012-01-11,S,S,A,C,S,S,A,10.9516,11.9,11.4,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.4952,0.1550102262253874
prebreak,000568,2012-01-31,S,S,A,C,S,S,A,23.6451,26.11,25.05,1.06,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.1577,0.1147617242249847
prebreak,601601,2012-02-09,S,S,A,C,S,S,A,13.4496,12.36,11.81,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,1.013,0.0160015200245196
prebreak,000869,2012-02-13,S,S,A,C,S,S,A,58.3105,58.65,55.9,2.75,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,,,,0,,0.8166,-0.0725636474232493
