mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d,vol_ratio,mom20,_d
prebreak,600207,2001-03-28,S,S,A,C,S,S,A,16.8095,16.86,16.12,0.74,,1,16.86,16.4525,2001-04-04,0,-0.5676,1,16.86,16.12,2001-04-06,1,-1.0167,1,16.86,16.12,2001-04-06,1,-1.0167,3.4654,-0.0182231440224542,2001-03-28
prebreak,600600,2009-12-10,S,S,A,C,S,S,A,27.737,28.67,27.18,1.49,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,28.67,28.0272,2010-01-08,0,-0.4458,1.7593,-0.007078433691557,2009-12-10
prebreak,600875,2010-04-20,S,S,A,C,S,S,A,19.6364,18.27,17.48,0.79,,1,18.27,20.9683,2010-04-27,0,3.3959,1,18.27,20.5366,2010-05-05,0,2.8497,1,18.27,19.0784,2010-05-19,0,1.0051,1.7382,0.0196700414158388,2010-04-20
prebreak,601628,2010-06-02,S,S,A,C,S,S,A,18.1533,18.83,17.93,0.9,,0,0.0,0.0,,0,0.0,1,18.83,18.9876,2010-06-22,0,0.1592,1,18.83,19.5359,2010-07-06,0,0.7679,2.1475,0.0166507981121724,2010-06-02
prebreak,600054,2010-08-05,S,S,A,C,S,S,A,11.486,11.51,11.01,0.5,,1,11.51,12.1582,2010-08-12,0,1.2781,1,11.51,12.2277,2010-08-19,0,1.4171,1,11.51,12.8884,2010-09-02,0,2.7376,2.9138,0.0497604771816231,2010-08-05
prebreak,601088,2010-09-08,S,S,A,C,S,S,A,9.2076,9.39,8.89,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,9.39,10.6744,2010-10-18,0,2.5529,4.7321,0.032166494136091,2010-09-08
prebreak,002028,2011-03-01,S,S,A,C,S,S,A,12.0441,12.18,11.64,0.54,,1,12.18,12.1613,2011-03-04,0,-0.0517,1,12.18,12.1613,2011-03-04,0,-0.0517,1,12.18,12.1613,2011-03-04,0,-0.0517,1.5883,0.0639904904438011,2011-03-01
prebreak,600600,2011-04-14,S,S,A,C,S,S,A,26.0138,26.21,25.05,1.16,,0,0.0,0.0,,0,0.0,1,26.21,25.9823,2011-04-28,0,-0.2134,1,26.21,27.582,2011-05-13,0,1.1649,1.7587,0.0143024261735706,2011-04-14
prebreak,601601,2011-09-20,S,S,A,C,S,S,A,12.9118,13.18,12.62,0.56,,1,13.18,12.62,2011-09-23,1,-1.0173,1,13.18,12.62,2011-09-23,1,-1.0173,1,13.18,12.62,2011-09-23,1,-1.0173,1.9099,0.0217704902156434,2011-09-20
prebreak,601601,2011-09-27,S,S,A,C,S,S,A,11.9249,13.18,12.62,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,13.18,12.8739,2011-11-01,0,-0.5642,2.0362,0.1052467000263643,2011-09-27
prebreak,600009,2011-10-11,S,S,A,C,S,S,A,9.8022,10.11,9.61,0.5,,1,10.11,10.3435,2011-10-18,0,0.4514,1,10.11,10.688,2011-10-25,0,1.14,1,10.11,10.7619,2011-11-08,0,1.2875,1.7837,-0.0519004463130772,2011-10-11
prebreak,601001,2011-10-26,S,S,A,C,S,S,A,11.8739,12.51,11.88,0.63,,0,0.0,0.0,,0,0.0,1,12.51,12.4988,2011-11-09,0,-0.0328,1,12.51,12.2645,2011-11-10,0,-0.4046,1.5332,0.0285370794194583,2011-10-26
prebreak,600779,2011-11-17,S,S,A,C,S,S,A,18.6711,19.51,18.61,0.9,,0,0.0,0.0,,0,0.0,1,19.51,18.61,2011-11-30,1,-1.0158,1,19.51,18.61,2011-11-30,1,-1.0158,1.5596,0.0472761289148062,2011-11-17
prebreak,000858,2011-11-21,S,S,A,C,S,S,A,24.2519,25.19,24.18,1.01,,1,25.19,26.0622,2011-11-28,0,0.844,1,25.19,24.6519,2011-12-05,0,-0.5513,1,25.19,24.18,2011-12-06,1,-1.0183,1.6502,-0.0001724440553754,2011-11-21
prebreak,601601,2011-11-29,S,S,A,C,S,S,A,11.9566,12.21,11.64,0.57,,1,12.21,12.0704,2011-12-05,0,-0.261,1,12.21,12.0704,2011-12-05,0,-0.261,1,12.21,12.0704,2011-12-05,0,-0.261,3.1441,-0.0934428788939714,2011-11-29
prebreak,600508,2012-03-30,S,S,A,C,S,S,A,10.3829,11.88,11.27,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,11.88,11.8415,2012-05-08,0,-0.0779,2.674,0.052994941655341,2012-03-30
prebreak,000538,2012-04-05,S,S,A,C,S,S,A,17.2378,18.17,17.4,0.77,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,18.17,18.1582,2012-05-08,0,-0.0332,1.9309,0.0669253754020895,2012-04-05
prebreak,601001,2012-04-19,S,S,A,C,S,S,A,10.3193,10.54,10.02,0.52,,1,10.54,10.5771,2012-04-26,0,0.0559,1,10.54,11.0146,2012-05-07,0,0.8967,1,10.54,10.02,2012-05-18,1,-1.0148,2.4275,-0.0093625110369702,2012-04-19
prebreak,002299,2012-04-20,S,S,A,C,S,S,A,11.0102,11.2,10.7,0.5,,1,11.2,10.8131,2012-04-27,0,-0.7904,1,11.2,11.033,2012-05-02,0,-0.3508,1,11.2,11.033,2012-05-02,0,-0.3508,1.8765,0.0067285081732322,2012-04-20
prebreak,600508,2012-04-26,S,S,A,C,S,S,A,11.3971,11.24,10.71,0.53,,1,11.24,11.8415,2012-05-08,0,1.1181,1,11.24,11.3448,2012-05-15,0,0.1816,1,11.24,11.4024,2012-05-29,0,0.29,2.674,-0.0037320585685156,2012-04-26
prebreak,600875,2012-04-26,S,S,A,C,S,S,A,18.3726,18.5,17.56,0.94,,1,18.5,18.5041,2012-05-07,0,-0.0106,1,18.5,18.1013,2012-05-14,0,-0.4388,1,18.5,17.56,2012-05-21,1,-1.0143,1.545,0.0323380910569834,2012-04-26
prebreak,000858,2012-05-03,S,S,A,C,S,S,A,24.557,23.67,22.58,1.09,,1,23.67,24.1299,2012-05-10,0,0.4051,1,23.67,23.5563,2012-05-17,0,-0.1208,1,23.67,22.58,2012-05-24,1,-1.0159,1.775,0.0322794803733097,2012-05-03
prebreak,600875,2012-05-14,S,S,A,C,S,S,A,18.1013,18.67,17.72,0.95,,0,0.0,0.0,,0,0.0,1,18.67,18.3233,2012-05-29,0,-0.3797,1,18.67,18.2822,2012-05-31,0,-0.4229,2.6911,0.016186703159172,2012-05-14
prebreak,000538,2012-05-22,S,S,A,C,S,S,A,18.1928,18.37,17.64,0.73,,0,0.0,0.0,,0,0.0,1,18.37,18.4904,2012-06-05,0,0.1457,1,18.37,20.3147,2012-06-19,0,2.6432,2.4208,0.0085884770865842,2012-05-22
prebreak,600875,2012-05-22,S,S,A,C,S,S,A,18.0274,18.29,17.47,0.82,,1,18.29,18.3233,2012-05-29,0,0.0236,1,18.29,17.5506,2012-06-05,0,-0.9181,1,18.29,17.47,2012-06-07,1,-1.0163,2.6911,-0.0044962613400507,2012-05-22
prebreak,601318,2012-05-31,S,S,A,C,S,S,A,13.5011,13.78,13.18,0.6,,0,0.0,0.0,,0,0.0,1,13.78,14.5454,2012-06-14,0,1.2574,1,13.78,14.858,2012-07-02,0,1.7781,2.5024,0.0374975728183228,2012-05-31
prebreak,601628,2012-06-11,S,S,A,C,S,S,A,13.4623,13.62,13.11,0.51,,1,13.62,14.3598,2012-06-18,0,1.4294,1,13.62,14.0633,2012-06-26,0,0.8484,1,13.62,14.9368,2012-07-10,0,2.56,2.9763,-0.0344706987080093,2012-06-11
prebreak,000422,2012-09-03,S,S,A,C,S,S,A,10.9051,11.82,11.22,0.6,,0,0.0,0.0,,0,0.0,1,11.82,11.6101,2012-09-14,0,-0.3646,1,11.82,11.6101,2012-09-14,0,-0.3646,2.5211,0.0261733810914051,2012-09-03
prebreak,601888,2012-09-03,S,S,A,C,S,S,A,11.8161,12.57,11.92,0.65,,1,12.57,12.5403,2012-09-10,0,-0.0603,1,12.57,12.5576,2012-09-11,0,-0.0338,1,12.57,12.5576,2012-09-11,0,-0.0338,2.1833,-0.0135718896960275,2012-09-03
prebreak,000538,2012-09-05,S,S,A,C,S,S,A,20.3321,20.67,19.63,1.04,,1,20.67,21.5187,2012-09-12,0,0.8004,1,20.67,21.366,2012-09-19,0,0.6537,1,20.67,22.0947,2012-10-10,0,1.3539,1.9491,-0.0457487245404092,2012-09-05
prebreak,600547,2012-09-14,S,S,A,C,S,S,A,19.023,17.05,16.24,0.81,,1,17.05,19.977,2012-09-21,0,3.5953,1,17.05,20.001,2012-09-28,0,3.6249,1,17.05,18.6442,2012-10-19,0,1.951,1.7393,0.0167112302553658,2012-09-14
prebreak,601888,2012-09-24,S,S,A,C,S,S,A,11.8592,12.87,12.3,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,12.87,12.9111,2012-10-29,0,0.0548,3.7078,0.0298285401279139,2012-09-24
prebreak,000568,2012-10-18,S,S,A,C,S,S,A,26.5707,26.08,24.92,1.16,,1,26.08,25.5586,2012-10-25,0,-0.4663,1,26.08,26.1764,2012-11-01,0,0.0659,1,26.08,24.92,2012-11-06,1,-1.0165,1.7482,0.0429269905773621,2012-10-18
prebreak,600141,2012-12-06,S,S,A,C,S,S,A,10.1652,10.83,10.29,0.54,,1,10.83,10.5181,2012-12-13,0,-0.5924,1,10.83,11.4807,2012-12-20,0,1.1891,1,10.83,11.7054,2013-01-08,0,1.6048,2.4711,-0.0182680709027066,2012-12-06
prebreak,002353,2012-12-18,S,S,A,C,S,S,A,20.3968,21.65,20.63,1.02,,1,21.65,21.6998,2012-12-25,0,0.0326,1,21.65,21.7368,2013-01-04,0,0.069,0,21.65,27.6162,2013-01-18,0,5.8294,1.7575,0.1064619644098816,2012-12-18
